,0,1,2,3,4,5,6
Columns,Rank,Win Ratio,AdjEM,AdjO,AdjD,AdjT,Luck
Kentucky,1,0.9743589743589743,+36.91,121.3,84.4,62.4,+.048
Wisconsin,2,0.9,+33.72,129.0,95.2,58.7,+.015
Duke,3,0.8974358974358975,+32.48,124.5,92.0,65.8,+.067
Arizona,4,0.8947368421052632,+32.36,119.9,87.5,65.8,-.033
Villanova,5,0.9166666666666666,+30.65,122.7,92.0,64.2,+.031
Virginia,6,0.8823529411764706,+30.06,115.6,85.5,58.0,+.023
Gonzaga,7,0.9210526315789473,+27.78,121.7,93.9,64.7,+.018
Utah,8,0.7428571428571429,+27.24,116.4,89.2,60.5,-.054
Notre Dame,9,0.8421052631578947,+24.96,125.4,100.4,63.4,+.062
North Carolina,10,0.6842105263157895,+23.85,119.1,95.3,69.2,-.026
Oklahoma,11,0.6857142857142857,+22.80,112.5,89.7,66.7,-.045
Kansas,12,0.75,+22.72,114.5,91.8,67.0,+.070
Wichita St.,13,0.8571428571428571,+22.21,115.8,93.6,62.3,+.022
Baylor,14,0.7058823529411765,+22.14,116.6,94.5,61.5,-.035
Michigan St.,15,0.6923076923076923,+21.72,116.6,94.9,63.1,-.017
Iowa St.,16,0.7352941176470589,+21.49,119.0,97.5,69.6,+.005
Louisville,17,0.75,+21.21,110.2,88.9,64.6,+.027
Northern Iowa,18,0.8857142857142857,+20.98,116.3,95.3,58.2,+.018
Ohio St.,19,0.6857142857142857,+20.75,115.6,94.8,65.2,-.043
Butler,20,0.6764705882352942,+20.09,110.2,90.1,63.2,-.023
Xavier,21,0.6216216216216216,+19.49,116.6,97.1,65.0,-.062
Georgetown,22,0.6666666666666666,+19.13,114.3,95.1,64.0,-.000
Iowa,23,0.6470588235294118,+19.02,114.2,95.1,63.7,-.007
Texas,24,0.5882352941176471,+18.94,112.4,93.4,62.0,-.079
West Virginia,25,0.7142857142857143,+17.64,112.6,94.9,67.9,+.087
SMU,26,0.7941176470588235,+17.51,113.1,95.6,63.1,-.004
Providence,27,0.6470588235294118,+16.72,112.6,95.9,65.2,+.038
BYU,28,0.7142857142857143,+16.69,119.4,102.7,70.4,-.055
Arkansas,29,0.75,+16.44,114.7,98.3,69.3,+.045
VCU,30,0.7222222222222222,+16.27,111.1,94.9,66.5,+.043
San Diego St.,31,0.75,+15.95,104.9,89.0,60.4,+.026
North Carolina St.,32,0.6111111111111112,+15.93,114.9,98.9,64.1,-.003
Maryland,33,0.8,+15.68,111.3,95.7,63.9,+.127
Georgia,35,0.6363636363636364,+15.09,109.6,94.5,64.1,+.001
Davidson,36,0.75,+15.00,119.7,104.7,66.7,+.056
Oklahoma St.,38,0.5625,+14.92,111.8,96.8,63.3,-.045
UCLA,40,0.6111111111111112,+14.65,112.9,98.2,65.8,+.032
Dayton,42,0.75,+14.24,109.2,95.0,63.4,+.022
Cincinnati,43,0.6764705882352942,+14.15,108.2,94.0,59.8,-.016
Purdue,44,0.6176470588235294,+13.96,110.9,97.0,64.3,-.006
Oregon,45,0.7222222222222222,+13.88,115.2,101.3,66.6,+.119
Mississippi,46,0.6176470588235294,+13.88,114.5,100.6,66.2,-.033
Boise St.,47,0.7352941176470589,+13.85,111.9,98.1,62.8,+.009
Indiana,48,0.5882352941176471,+13.83,119.8,106.0,66.6,-.044
LSU,49,0.6666666666666666,+13.76,108.9,95.1,69.3,-.043
St. John's,50,0.6363636363636364,+13.70,110.7,97.0,66.7,+.050
Stephen F. Austin,51,0.8529411764705882,+13.64,113.9,100.3,65.4,+.020
Buffalo,58,0.696969696969697,+11.87,111.3,99.4,68.3,+.001
Valparaiso,64,0.8235294117647058,+11.13,107.4,96.3,62.3,+.053
Georgia St.,68,0.7142857142857143,+10.32,111.6,101.3,62.4,-.003
Harvard,75,0.7333333333333333,+9.23,104.8,95.6,61.1,+.091
UC Irvine,91,0.6176470588235294,+7.09,106.3,99.2,63.4,-.022
Wofford,96,0.8,+6.72,105.2,98.5,60.5,+.122
New Mexico St.,98,0.6764705882352942,+6.63,107.4,100.8,63.0,-.042
Wyoming,109,0.7142857142857143,+5.67,104.8,99.1,59.1,+.083
Northeastern,117,0.6571428571428571,+5.12,108.3,103.1,63.3,+.025
Albany,131,0.7272727272727273,+3.29,107.2,103.9,60.8,+.054
Eastern Washington,133,0.7428571428571429,+3.25,112.9,109.6,68.2,+.067
UAB,135,0.5555555555555556,+3.06,104.9,101.9,64.7,+.025
Coastal Carolina,140,0.7058823529411765,+2.38,106.7,104.3,64.1,+.006
Belmont,142,0.6666666666666666,+2.27,110.2,107.9,66.9,+.065
North Florida,143,0.6571428571428571,+2.26,108.4,106.2,67.1,-.022
North Dakota St.,152,0.696969696969697,+1.41,103.8,102.4,60.8,+.105
Manhattan,162,0.5757575757575758,+0.31,101.9,101.6,67.7,-.001
Robert Morris,184,0.5714285714285714,-1.39,103.1,104.5,65.4,+.055
Lafayette,193,0.6060606060606061,-2.14,112.9,115.1,64.6,+.097
Texas Southern,213,0.6285714285714286,-3.84,104.1,107.9,63.3,+.128
Hampton,251,0.4857142857142857,-7.40,96.6,104.0,69.2,+.031
