,0,1,2,3,4,5,6
Columns,Rank,Win Ratio,AdjEM,AdjO,AdjD,AdjT,Luck
North Carolina,1,0.8157894736842105,+31.37,121.0,89.6,72.4,-.046
Florida,2,0.875,+30.81,122.8,92.0,65.8,+.028
Ohio St.,3,0.8974358974358975,+29.33,121.0,91.7,64.9,+.057
Georgetown,4,0.8108108108108109,+28.48,122.0,93.5,59.4,+.006
Kansas,5,0.868421052631579,+27.81,115.3,87.5,68.7,+.031
UCLA,6,0.8333333333333334,+27.15,115.4,88.3,63.7,+.019
Texas A&M,7,0.7941176470588235,+26.97,119.3,92.3,63.7,-.047
Wisconsin,8,0.8333333333333334,+25.45,115.6,90.1,63.8,+.034
Memphis,9,0.8918918918918919,+24.81,115.4,90.6,68.4,+.030
Duke,10,0.6666666666666666,+23.30,113.2,89.9,64.5,-.074
Pittsburgh,11,0.7837837837837838,+22.90,118.1,95.2,62.2,+.033
Maryland,12,0.7352941176470589,+22.42,112.4,90.0,71.4,-.027
Kentucky,13,0.6470588235294118,+21.73,117.0,95.3,65.8,-.029
Indiana,14,0.65625,+21.58,115.4,93.8,64.9,-.058
Butler,15,0.8055555555555556,+21.45,118.0,96.5,58.1,+.016
Southern Illinois,16,0.8055555555555556,+21.03,109.8,88.8,61.0,+.017
Michigan St.,17,0.6571428571428571,+20.97,112.8,91.8,60.3,-.036
Oregon,18,0.7837837837837838,+20.76,118.3,97.6,66.0,+.031
Louisville,19,0.7058823529411765,+20.35,113.5,93.1,64.2,-.046
Villanova,21,0.6666666666666666,+20.11,113.4,93.3,65.8,-.036
Notre Dame,22,0.75,+20.02,118.1,98.1,70.7,-.018
Georgia Tech,23,0.625,+19.61,116.9,97.3,67.2,-.067
Arizona,24,0.6451612903225806,+19.43,119.5,100.1,68.3,-.009
Texas,25,0.7142857142857143,+19.24,119.5,100.3,67.6,-.008
Washington St.,27,0.7647058823529411,+18.87,111.7,92.8,60.0,+.004
Creighton,28,0.6666666666666666,+18.53,113.8,95.3,62.7,-.023
Purdue,30,0.6470588235294118,+18.31,110.7,92.4,66.5,+.002
Tennessee,31,0.6857142857142857,+18.29,115.9,97.6,71.3,+.035
Xavier,32,0.7352941176470589,+18.13,117.3,99.2,66.2,-.047
Illinois,36,0.6571428571428571,+17.50,107.3,89.8,62.0,-.017
Virginia Tech,37,0.6470588235294118,+17.38,112.4,95.0,63.7,-.004
Marquette,38,0.7058823529411765,+17.18,111.8,94.6,67.6,+.009
USC,39,0.6756756756756757,+16.86,111.0,94.2,67.1,+.016
UNLV,41,0.8108108108108109,+16.83,112.6,95.8,65.2,+.098
Arkansas,42,0.6,+16.62,110.6,93.9,66.1,-.021
Vanderbilt,43,0.6470588235294118,+16.23,115.7,99.4,66.6,+.008
Boston College,44,0.6363636363636364,+16.18,117.3,101.1,64.3,+.026
BYU,46,0.7352941176470589,+16.11,116.7,100.6,67.6,+.001
Nevada,47,0.8529411764705882,+16.09,117.2,101.2,66.3,+.030
Virginia,48,0.65625,+15.43,114.1,98.7,67.9,+.006
Gonzaga,49,0.6764705882352942,+15.31,115.3,100.0,67.1,-.032
Winthrop,51,0.8529411764705882,+14.81,112.9,98.0,61.9,+.055
VCU,52,0.8,+14.55,116.6,102.0,65.5,+.002
Davidson,61,0.8529411764705882,+13.32,111.8,98.5,71.9,+.067
Old Dominion,64,0.7272727272727273,+12.70,108.6,95.9,65.8,+.013
Stanford,66,0.5806451612903226,+12.37,109.7,97.3,65.9,+.028
Texas Tech,71,0.6176470588235294,+10.98,112.2,101.3,64.9,+.056
Miami OH,87,0.5454545454545454,+8.38,105.7,97.4,58.1,-.024
Oral Roberts,88,0.6764705882352942,+8.36,107.1,98.7,66.5,-.007
Texas A&M Corpus Chris,91,0.7878787878787878,+7.76,114.1,106.4,68.1,+.057
Penn,92,0.7096774193548387,+7.69,109.8,102.1,67.9,+.047
Holy Cross,93,0.7352941176470589,+7.40,103.0,95.6,62.5,+.025
George Washington,95,0.71875,+7.28,105.0,97.7,66.9,+.089
New Mexico St.,96,0.7352941176470589,+7.27,108.3,101.1,69.7,+.035
Wright St.,100,0.696969696969697,+6.66,104.5,97.8,63.0,+.137
Long Beach St.,113,0.75,+5.44,112.2,106.8,71.0,+.110
Belmont,121,0.696969696969697,+4.38,106.6,102.2,66.1,+.022
Albany,138,0.696969696969697,+2.25,107.4,105.2,63.7,+.109
North Texas,162,0.6764705882352942,-0.98,103.0,104.0,69.1,+.034
Central Connecticut,177,0.6470588235294118,-2.24,104.1,106.3,63.3,+.060
Eastern Kentucky,182,0.6363636363636364,-2.58,102.7,105.3,61.3,+.078
Weber St.,184,0.625,-2.71,102.1,104.8,65.2,+.098
Niagara,186,0.6571428571428571,-2.76,107.2,110.0,68.3,+.118
Jackson St.,251,0.6,-9.48,100.2,109.7,69.7,+.140
Florida A&M,254,0.6,-9.57,100.6,110.2,67.6,+.104
