,0,1,2,3,4,5,6
Columns,Rank,Win Ratio,AdjEM,AdjO,AdjD,AdjT,Luck
Duke,1,0.875,+33.29,121.0,87.7,64.7,+.009
Kansas,2,0.9166666666666666,+31.85,120.4,88.5,67.2,+.038
Syracuse,3,0.8571428571428571,+27.62,118.5,90.9,68.7,-.008
Kentucky,4,0.9210526315789473,+26.54,114.9,88.3,68.3,+.060
West Virginia,5,0.8157894736842105,+25.54,117.2,91.7,62.6,+.057
Kansas St.,6,0.7837837837837838,+25.52,116.1,90.6,69.4,-.008
Ohio St.,7,0.7837837837837838,+24.99,117.5,92.5,64.6,+.007
Baylor,8,0.7777777777777778,+24.95,119.2,94.3,64.5,-.021
Wisconsin,9,0.7272727272727273,+23.56,115.2,91.6,59.2,-.013
BYU,10,0.8333333333333334,+23.27,117.3,94.0,71.1,+.012
Georgetown,11,0.6764705882352942,+22.64,116.8,94.2,65.8,-.035
Butler,12,0.868421052631579,+22.45,111.0,88.5,63.0,+.032
Maryland,13,0.7272727272727273,+22.37,118.3,95.9,68.7,-.023
California,14,0.6857142857142857,+22.15,119.6,97.4,67.1,-.043
Purdue,15,0.8285714285714286,+22.05,109.8,87.7,66.2,+.070
Texas A&M,16,0.7058823529411765,+21.33,112.6,91.2,64.3,-.005
Villanova,17,0.7575757575757576,+21.24,117.2,96.0,71.2,+.025
Xavier,18,0.7428571428571429,+20.87,115.5,94.6,68.9,+.010
Texas,19,0.7058823529411765,+20.75,113.9,93.1,71.5,-.014
Michigan St.,20,0.7567567567567568,+20.13,112.8,92.7,65.3,+.027
Temple,21,0.8285714285714286,+20.12,107.8,87.7,60.4,+.076
Missouri,22,0.6764705882352942,+19.99,111.5,91.5,68.8,-.035
Utah St.,23,0.7714285714285715,+19.90,116.0,96.1,59.8,-.026
Marquette,24,0.6470588235294118,+19.65,115.1,95.5,62.3,-.064
Clemson,25,0.65625,+19.28,110.9,91.6,67.6,-.041
Northern Iowa,27,0.8571428571428571,+18.87,109.6,90.8,58.9,+.034
Pittsburgh,28,0.7352941176470589,+18.66,111.4,92.8,61.3,+.041
Saint Mary's,29,0.8235294117647058,+18.59,116.5,97.9,66.2,+.038
Tennessee,30,0.7567567567567568,+18.50,108.9,90.4,67.5,+.082
Georgia Tech,31,0.6388888888888888,+18.22,109.2,91.0,68.2,-.034
Washington,32,0.7222222222222222,+18.19,111.7,93.6,71.7,+.029
Florida St.,33,0.6875,+18.02,105.0,87.0,65.3,+.009
Minnesota,34,0.6,+17.97,112.0,94.1,65.6,-.055
Notre Dame,35,0.6571428571428571,+17.71,119.4,101.7,62.4,-.068
Vanderbilt,36,0.7272727272727273,+17.54,113.7,96.2,68.7,+.019
Old Dominion,37,0.75,+17.51,107.8,90.3,62.6,+.009
Louisville,38,0.6060606060606061,+16.91,114.5,97.6,66.3,-.038
Oklahoma St.,39,0.6666666666666666,+16.72,112.2,95.4,66.2,+.011
San Diego St.,40,0.7352941176470589,+16.58,111.4,94.9,63.1,+.006
UNLV,41,0.7352941176470589,+16.56,110.6,94.0,66.3,-.013
UTEP,42,0.7878787878787878,+16.53,107.7,91.2,67.9,+.024
New Mexico,43,0.8571428571428571,+16.18,113.6,97.4,67.4,+.096
Gonzaga,44,0.7941176470588235,+16.14,112.3,96.1,67.5,+.079
Cornell,46,0.8529411764705882,+15.92,117.4,101.5,63.9,+.068
Florida,50,0.6176470588235294,+15.23,113.0,97.8,63.9,-.061
Murray St.,53,0.8611111111111112,+15.06,109.0,94.0,65.6,-.011
Richmond,54,0.7428571428571429,+15.01,108.8,93.8,62.5,+.047
Wake Forest,58,0.6451612903225806,+14.12,107.1,93.0,68.7,+.067
Siena,59,0.7941176470588235,+13.86,109.4,95.5,69.2,+.027
Wofford,82,0.7428571428571429,+10.12,104.6,94.4,63.5,-.023
Houston,88,0.5428571428571428,+8.79,112.0,103.2,71.1,-.083
Ohio,94,0.5945945945945946,+8.25,107.3,99.0,68.8,-.068
Montana,95,0.6875,+8.08,106.5,98.4,62.0,-.042
Sam Houston St.,100,0.7575757575757576,+7.42,110.2,102.7,69.3,+.052
New Mexico St.,112,0.6470588235294118,+6.03,111.6,105.5,70.3,+.122
Oakland,135,0.7428571428571429,+3.19,107.5,104.3,69.5,+.173
Vermont,136,0.7142857142857143,+3.08,104.1,101.0,66.1,+.068
East Tennessee St.,150,0.5714285714285714,+2.47,100.9,98.4,66.8,-.004
UC Santa Barbara,153,0.6666666666666666,+2.11,100.0,97.9,66.3,+.125
Morgan St.,156,0.7297297297297297,+1.58,105.5,104.0,68.6,+.078
North Texas,175,0.7272727272727273,-0.47,103.4,103.8,67.4,+.113
Robert Morris,185,0.6571428571428571,-0.97,99.9,100.8,66.1,+.074
Lehigh,186,0.6666666666666666,-0.97,105.6,106.6,68.9,+.018
Winthrop,225,0.5757575757575758,-5.63,90.7,96.3,64.0,+.049
Arkansas Pine Bluff,231,0.5294117647058824,-6.44,93.1,99.5,65.1,+.053
