,0,1,2,3,4,5,6
Columns,Rank,Win Ratio,AdjEM,AdjO,AdjD,AdjT,Luck
Louisville,1,0.8378378378378378,+30.41,118.9,88.5,67.2,-.045
Arizona,2,0.868421052631579,+30.11,116.5,86.4,62.8,+.014
Florida,3,0.9230769230769231,+28.57,116.5,88.0,61.3,+.053
Virginia,4,0.8108108108108109,+26.46,114.8,88.3,59.5,+.012
Wisconsin,5,0.7894736842105263,+25.89,122.0,96.1,62.4,+.019
Wichita St.,6,0.9722222222222222,+25.36,117.8,92.4,63.5,-.009
Kansas,7,0.7142857142857143,+24.60,119.3,94.7,66.6,-.051
Duke,8,0.7428571428571429,+24.25,124.7,100.4,64.6,-.035
Michigan St.,9,0.7631578947368421,+23.92,118.6,94.7,64.4,-.003
Tennessee,10,0.6486486486486487,+23.69,117.9,94.2,61.6,-.099
Villanova,11,0.8529411764705882,+23.68,116.3,92.6,66.0,+.075
Michigan,12,0.7567567567567568,+23.44,123.9,100.5,61.0,+.047
Kentucky,13,0.725,+22.55,118.3,95.8,64.0,-.025
UCLA,14,0.7567567567567568,+22.53,118.7,96.1,68.4,-.019
Connecticut,15,0.8,+22.13,113.6,91.5,63.2,+.080
Pittsburgh,16,0.7222222222222222,+21.89,116.9,95.0,62.2,-.038
Creighton,17,0.7714285714285715,+21.72,124.2,102.5,63.6,+.024
Syracuse,18,0.8235294117647058,+21.62,114.6,93.0,59.6,+.016
Ohio St.,19,0.7142857142857143,+21.30,109.3,88.0,64.0,-.043
Iowa St.,20,0.7777777777777778,+21.07,118.9,97.8,70.2,+.064
Oklahoma St.,21,0.6176470588235294,+20.98,115.9,95.0,67.2,-.110
Iowa,22,0.6060606060606061,+20.44,120.2,99.8,68.6,-.116
San Diego St.,23,0.8611111111111112,+20.38,110.4,90.0,62.3,+.067
Gonzaga,24,0.8055555555555556,+20.14,114.0,93.8,65.0,+.016
VCU,25,0.7428571428571429,+19.80,109.2,89.4,68.9,-.058
Baylor,26,0.6842105263157895,+19.39,118.9,99.5,61.3,+.012
Cincinnati,27,0.7941176470588235,+19.24,109.7,90.4,61.1,+.036
Oregon,28,0.7058823529411765,+19.02,118.9,99.9,67.5,-.037
North Carolina,29,0.7058823529411765,+18.44,112.6,94.2,69.2,+.000
Oklahoma,30,0.696969696969697,+17.90,117.9,100.0,69.6,-.022
Harvard,32,0.84375,+17.58,112.9,95.3,64.1,+.020
New Mexico,33,0.7941176470588235,+17.15,113.5,96.3,64.4,+.032
Stanford,34,0.6388888888888888,+16.06,112.4,96.4,65.3,+.016
Saint Louis,35,0.7941176470588235,+15.72,105.7,90.0,65.6,+.040
Memphis,36,0.7058823529411765,+15.22,112.4,97.1,67.5,+.048
Arizona St.,39,0.6363636363636364,+14.82,111.2,96.4,67.4,+.003
Texas,41,0.6857142857142857,+14.52,111.8,97.3,66.8,+.092
Dayton,42,0.7027027027027027,+14.25,113.8,99.6,63.8,+.038
Kansas St.,45,0.6060606060606061,+14.10,107.8,93.7,63.3,+.001
George Washington,47,0.7272727272727273,+13.82,110.8,97.0,65.3,+.056
Providence,48,0.6571428571428571,+13.81,114.6,100.8,62.9,+.051
BYU,49,0.6571428571428571,+13.77,114.5,100.7,70.8,-.004
Massachusetts,50,0.7272727272727273,+13.46,110.0,96.5,70.3,+.065
Xavier,52,0.6176470588235294,+13.11,112.9,99.8,64.2,+.017
Saint Joseph's,55,0.7058823529411765,+12.93,112.3,99.4,64.3,+.079
Nebraska,56,0.59375,+12.64,108.8,96.1,64.7,+.047
North Dakota St.,61,0.7878787878787878,+11.76,115.5,103.7,62.3,+.089
North Carolina St.,62,0.6111111111111112,+11.60,114.0,102.4,64.7,+.065
Colorado,67,0.6571428571428571,+11.20,107.7,96.5,64.8,+.120
Stephen F. Austin,70,0.9142857142857143,+10.83,112.3,101.5,61.2,+.073
New Mexico St.,72,0.7222222222222222,+10.54,112.9,102.4,65.2,-.030
Manhattan,74,0.7575757575757576,+10.21,107.2,97.0,67.7,-.008
Tulsa,82,0.6176470588235294,+8.93,106.1,97.2,66.8,-.023
Mercer,87,0.75,+8.34,110.8,102.4,63.6,+.022
North Carolina Central,92,0.8235294117647058,+7.98,108.6,100.7,62.3,+.040
Delaware,106,0.7142857142857143,+5.83,112.0,106.2,70.4,+.064
Louisiana Lafayette,113,0.6571428571428571,+5.19,110.2,105.0,68.5,+.038
American,120,0.6060606060606061,+4.57,103.4,98.9,59.7,+.007
Eastern Kentucky,125,0.7058823529411765,+3.96,112.4,108.4,64.2,+.036
Western Michigan,131,0.696969696969697,+3.36,106.3,103.0,65.2,+.098
Milwaukee,168,0.6,+0.08,104.7,104.6,65.8,+.119
Weber St.,172,0.6129032258064516,-0.62,106.4,107.0,62.9,-.009
Cal Poly,176,0.4117647058823529,-0.82,103.6,104.4,58.8,-.044
Albany,181,0.5588235294117647,-1.04,102.9,103.9,61.6,+.002
Wofford,192,0.6060606060606061,-1.94,100.6,102.6,60.5,+.025
Mount St. Mary's,209,0.48484848484848486,-3.96,107.8,111.7,68.2,+.031
Coastal Carolina,221,0.6176470588235294,-4.98,98.2,103.2,65.6,+.040
Texas Southern,259,0.5588235294117647,-7.49,106.7,114.1,65.7,-.004
