,0,1,2,3,4,5,6
Columns,Rank,Win Ratio,AdjEM,AdjO,AdjD,AdjT,Luck
Kansas,1,0.925,+35.21,120.9,85.7,66.8,+.012
Memphis,2,0.95,+31.51,118.0,86.5,68.1,+.012
North Carolina,3,0.9230769230769231,+30.22,122.1,91.9,72.5,+.050
UCLA,4,0.8974358974358975,+29.94,118.0,88.1,64.1,+.047
Wisconsin,5,0.8611111111111112,+26.68,113.5,86.8,61.1,+.043
Duke,6,0.8235294117647058,+26.40,116.3,89.9,71.5,-.006
Georgetown,7,0.8235294117647058,+25.56,115.2,89.7,60.5,+.029
Louisville,8,0.75,+25.41,113.1,87.7,65.3,-.057
Texas,9,0.8157894736842105,+25.09,120.6,95.5,63.9,+.044
Washington St.,10,0.7428571428571429,+24.32,115.1,90.8,58.3,-.004
Davidson,11,0.8055555555555556,+23.61,117.0,93.4,66.2,-.036
Stanford,12,0.7777777777777778,+22.75,113.6,90.9,63.4,+.040
Tennessee,13,0.8611111111111112,+22.17,116.2,94.0,70.7,+.110
Marquette,14,0.7142857142857143,+22.16,115.3,93.1,66.6,-.027
Xavier,15,0.8108108108108109,+22.05,117.3,95.2,63.8,+.054
Clemson,16,0.7058823529411765,+22.03,114.0,91.9,68.0,-.044
Drake,17,0.8484848484848485,+21.46,120.0,98.5,62.9,+.011
West Virginia,18,0.7027027027027027,+21.29,114.6,93.3,63.8,-.019
Michigan St.,19,0.75,+21.15,115.8,94.7,63.3,+.032
Butler,20,0.8823529411764706,+19.97,116.2,96.2,59.5,+.002
Texas A&M,21,0.6944444444444444,+19.93,112.3,92.3,61.8,+.004
Pittsburgh,22,0.7297297297297297,+19.91,116.5,96.6,63.9,+.027
Arizona,23,0.5588235294117647,+19.14,116.4,97.3,63.5,-.079
Notre Dame,24,0.7575757575757576,+19.07,114.6,95.6,69.5,+.042
Gonzaga,25,0.7575757575757576,+19.05,114.5,95.5,65.9,-.029
Kansas St.,26,0.6363636363636364,+18.90,114.2,95.3,69.7,-.049
Connecticut,27,0.7272727272727273,+18.90,115.2,96.3,67.1,-.001
USC,28,0.6363636363636364,+18.67,110.5,91.9,65.2,-.005
Indiana,29,0.7575757575757576,+18.43,114.6,96.1,66.2,+.037
Purdue,30,0.7352941176470589,+18.30,110.5,92.2,66.9,-.025
Mississippi St.,33,0.6764705882352942,+16.77,108.2,91.5,66.6,-.043
BYU,35,0.7714285714285715,+15.76,107.4,91.7,67.8,+.027
Oregon,36,0.5625,+15.66,118.8,103.1,65.8,-.035
Miami FL,37,0.6764705882352942,+15.38,112.5,97.1,65.8,-.003
Arkansas,40,0.6571428571428571,+15.19,111.4,96.2,66.5,+.008
Baylor,41,0.65625,+14.82,115.7,100.9,70.1,-.028
Saint Mary's,42,0.78125,+14.66,109.2,94.6,66.4,+.030
Western Kentucky,43,0.8055555555555556,+14.60,111.9,97.3,68.2,-.021
Oklahoma,44,0.6571428571428571,+14.47,109.5,95.1,63.1,+.077
Saint Joseph's,45,0.6176470588235294,+14.32,115.1,100.8,64.0,-.069
Villanova,46,0.6285714285714286,+14.21,109.2,95.0,68.1,+.037
UNLV,48,0.7714285714285715,+13.71,110.2,96.5,63.9,+.081
Kent St.,55,0.8,+13.04,107.8,94.8,65.1,+.075
Vanderbilt,56,0.7647058823529411,+12.65,112.3,99.6,68.2,+.110
Temple,57,0.6176470588235294,+12.37,112.8,100.4,63.6,-.018
South Alabama,65,0.7878787878787878,+11.80,112.6,100.8,64.8,-.002
IUPUI,66,0.7878787878787878,+11.68,116.5,104.8,60.9,-.019
Oral Roberts,77,0.7272727272727273,+10.27,104.7,94.5,63.6,+.032
Kentucky,78,0.5806451612903226,+10.01,107.8,97.8,62.4,+.010
George Mason,80,0.6764705882352942,+9.68,110.7,101.0,61.6,-.010
Cal St. Fullerton,88,0.7272727272727273,+8.47,112.3,103.9,71.6,-.010
Georgia,91,0.5,+8.08,104.3,96.2,64.7,-.032
Siena,93,0.6764705882352942,+7.99,108.6,100.7,67.6,+.036
Winthrop,104,0.6470588235294118,+6.38,99.5,93.1,61.6,-.000
Portland St.,112,0.696969696969697,+5.40,108.6,103.2,66.3,+.062
San Diego,120,0.6111111111111112,+4.64,101.6,97.0,63.0,+.045
Cornell,123,0.7857142857142857,+4.41,110.1,105.7,67.9,+.086
Boise St.,126,0.7352941176470589,+3.89,108.7,104.8,70.7,+.085
UMBC,127,0.7272727272727273,+3.86,113.2,109.3,63.7,+.057
Belmont,129,0.7352941176470589,+3.53,109.7,106.2,68.6,+.075
American,150,0.6363636363636364,+1.67,107.9,106.3,60.4,+.045
Austin Peay,168,0.6857142857142857,-0.30,104.6,104.9,65.5,+.086
Mount St. Mary's,173,0.5588235294117647,-1.32,99.3,100.6,66.1,+.014
UT Arlington,180,0.6363636363636364,-2.31,101.3,103.6,68.6,+.045
Coppin St.,298,0.43243243243243246,-14.41,92.4,106.8,62.9,+.065
Mississippi Valley St.,306,0.5151515151515151,-15.21,91.9,107.1,63.0,+.115
