,0,1,2,3,4,5,6
Columns,Rank,Win Ratio,AdjEM,AdjO,AdjD,AdjT,Luck
Villanova,1,0.9,+33.76,127.8,94.0,68.7,-.018
Virginia,2,0.9117647058823529,+29.53,115.2,85.6,59.4,+.048
Duke,3,0.7837837837837838,+28.86,122.4,93.6,69.7,-.034
Cincinnati,4,0.8611111111111112,+26.60,113.4,86.8,64.5,-.019
Purdue,5,0.8108108108108109,+26.27,122.7,96.4,67.2,+.006
Michigan St.,6,0.8571428571428571,+25.41,119.2,93.8,67.0,+.038
Michigan,7,0.8048780487804879,+24.20,114.7,90.5,64.9,+.052
North Carolina,8,0.7027027027027027,+23.59,120.3,96.7,71.2,-.011
Kansas,9,0.7948717948717948,+23.49,120.9,97.4,68.8,+.076
Gonzaga,10,0.8648648648648649,+23.03,118.1,95.1,69.4,+.009
Texas Tech,11,0.7297297297297297,+22.59,113.3,90.8,66.7,-.007
West Virginia,12,0.7027027027027027,+22.44,119.4,96.9,69.2,-.014
Tennessee,13,0.7428571428571429,+22.27,114.6,92.4,66.0,+.019
Clemson,14,0.7142857142857143,+21.65,114.2,92.6,66.1,-.009
Xavier,15,0.8285714285714286,+21.51,120.1,98.6,70.5,+.091
Ohio St.,16,0.7352941176470589,+21.16,116.0,94.9,67.0,+.020
Kentucky,17,0.7027027027027027,+20.44,115.8,95.4,68.8,-.008
Houston,18,0.7714285714285715,+20.24,114.6,94.4,68.4,-.015
Butler,20,0.6,+19.05,116.2,97.2,67.6,-.047
Wichita St.,21,0.7575757575757576,+19.03,121.0,101.9,68.6,-.026
Florida,22,0.6176470588235294,+18.96,114.5,95.5,67.1,-.059
Auburn,23,0.7647058823529411,+18.69,115.4,96.7,72.6,+.034
TCU,24,0.6363636363636364,+18.47,119.7,101.2,68.6,-.067
Nevada,25,0.7837837837837838,+18.39,120.2,101.8,69.4,-.026
Seton Hall,26,0.6470588235294118,+18.04,116.9,98.8,69.5,-.028
Florida St.,27,0.6571428571428571,+17.77,114.3,96.5,71.2,-.029
Arizona,28,0.7714285714285715,+17.70,118.0,100.4,67.1,+.036
Texas A&M,29,0.6285714285714286,+16.96,111.3,94.4,69.5,+.014
Creighton,30,0.6363636363636364,+16.91,115.5,98.6,70.8,-.028
Loyola Chicago,31,0.8421052631578947,+16.39,111.4,95.0,65.5,+.077
Virginia Tech,33,0.6363636363636364,+16.03,115.3,99.3,68.7,-.018
Texas,36,0.5588235294117647,+15.43,109.5,94.1,65.2,-.030
Miami FL,37,0.6875,+15.43,112.9,97.4,67.0,+.017
Missouri,40,0.6060606060606061,+14.83,111.9,97.0,65.7,-.025
Syracuse,41,0.6216216216216216,+14.82,107.0,92.2,62.9,+.021
Kansas St.,42,0.6756756756756757,+14.77,110.1,95.3,65.6,+.071
Davidson,43,0.6363636363636364,+14.70,117.0,102.3,64.5,-.063
Arkansas,44,0.6571428571428571,+14.69,116.3,101.7,69.7,+.059
North Carolina St.,46,0.6363636363636364,+14.52,116.3,101.8,71.4,-.001
Oklahoma,48,0.5625,+14.16,114.6,100.5,75.5,-.008
Arizona St.,49,0.625,+14.13,116.7,102.6,71.3,-.083
San Diego St.,50,0.6666666666666666,+14.09,110.5,96.4,68.8,-.032
Rhode Island,52,0.7647058823529411,+13.93,111.1,97.2,68.4,+.063
UCLA,56,0.6363636363636364,+13.52,115.0,101.4,70.3,-.027
Alabama,57,0.5555555555555556,+13.41,108.7,95.2,68.7,+.017
New Mexico St.,60,0.8235294117647058,+12.92,107.9,95.0,68.5,+.027
Murray St.,62,0.8125,+12.19,112.9,100.7,67.2,-.000
Providence,63,0.6,+12.17,108.9,96.7,67.1,+.074
Buffalo,67,0.75,+11.53,114.7,103.2,72.7,+.006
St. Bonaventure,68,0.7647058823529411,+11.21,110.8,99.5,69.4,+.078
Montana,72,0.7647058823529411,+10.40,108.8,98.4,68.0,-.000
South Dakota St.,78,0.8,+10.20,113.8,103.6,70.5,+.097
UNC Greensboro,82,0.7714285714285715,+9.22,104.9,95.7,65.2,-.024
Bucknell,97,0.7142857142857143,+7.31,109.5,102.2,71.4,+.006
Georgia St.,101,0.6857142857142857,+6.92,108.8,101.9,66.8,-.015
Marshall,105,0.6944444444444444,+6.53,109.4,102.9,74.7,+.060
Stephen F. Austin,112,0.8,+5.58,104.5,99.0,71.1,+.031
College of Charleston,115,0.7647058823529411,+5.16,108.7,103.6,64.9,+.035
Penn,125,0.7272727272727273,+3.69,103.1,99.4,68.9,+.076
Wright St.,133,0.7142857142857143,+2.89,100.6,97.7,68.3,+.074
Iona,137,0.5882352941176471,+2.63,110.0,107.3,70.7,-.008
Cal St. Fullerton,162,0.625,+0.62,103.7,103.1,69.6,+.097
UMBC,166,0.6944444444444444,+0.50,103.1,102.6,68.4,+.125
Lipscomb,167,0.696969696969697,+0.43,103.2,102.8,74.9,+.112
Radford,170,0.6388888888888888,+0.07,102.9,102.9,63.0,+.063
Texas Southern,243,0.4444444444444444,-6.65,104.6,111.2,71.7,-.010
LIU Brooklyn,259,0.5142857142857142,-8.27,102.3,110.6,71.6,+.012
North Carolina Central,316,0.5428571428571428,-13.41,96.6,110.0,65.0,+.019
