,0,1,2,3,4,5,6
Columns,Rank,Win Ratio,AdjEM,AdjO,AdjD,AdjT,Luck
Kentucky,1,0.8888888888888888,+29.18,116.5,87.4,67.7,+.051
Kansas,2,0.7894736842105263,+28.62,115.0,86.4,72.2,-.017
Pittsburgh,3,0.8484848484848485,+28.61,114.8,86.2,64.7,-.023
Arizona,4,0.875,+26.80,115.6,88.8,72.7,-.007
Illinois,5,0.78125,+24.47,113.2,88.7,67.8,-.029
Duke,6,0.7878787878787878,+23.75,115.0,91.3,70.7,-.030
Texas,7,0.7878787878787878,+23.49,119.3,95.8,69.4,-.009
Syracuse,8,0.8571428571428571,+23.28,114.4,91.1,71.0,+.083
Oklahoma,9,0.7941176470588235,+23.01,112.1,89.1,62.7,+.034
Louisville,10,0.78125,+22.75,115.8,93.0,72.5,-.029
Florida,11,0.7575757575757576,+22.14,116.5,94.4,65.0,+.008
Wisconsin,12,0.75,+22.07,114.4,92.4,61.9,-.024
Maryland,13,0.6774193548387096,+22.00,110.9,88.9,71.5,-.078
Mississippi St.,14,0.6774193548387096,+21.53,107.4,85.8,64.8,-.060
Marquette,15,0.8181818181818182,+21.30,120.5,99.2,65.7,+.070
Georgia,16,0.7037037037037037,+20.93,120.9,99.9,67.1,+.012
Saint Joseph's,17,0.7666666666666667,+20.75,109.0,88.3,64.1,-.049
Notre Dame,18,0.7058823529411765,+20.31,116.5,96.2,69.2,+.009
Michigan St.,19,0.6285714285714286,+20.26,110.1,89.9,63.6,-.050
Xavier,20,0.8125,+19.88,113.8,94.0,67.7,+.018
Wake Forest,21,0.8064516129032258,+19.87,114.5,94.6,67.7,+.073
Connecticut,22,0.696969696969697,+19.54,111.6,92.0,71.2,+.005
LSU,23,0.65625,+18.15,111.0,92.8,67.5,-.035
BYU,24,0.71875,+17.68,109.4,91.7,65.5,-.031
Oklahoma St.,25,0.6875,+17.67,105.9,88.2,66.7,+.003
Creighton,26,0.8529411764705882,+17.54,112.4,94.9,68.4,+.026
Purdue,27,0.6333333333333333,+17.42,107.0,89.6,69.3,-.012
Missouri,28,0.6666666666666666,+17.32,111.5,94.2,66.9,+.043
Memphis,29,0.7666666666666667,+16.72,110.9,94.1,68.3,+.005
Arizona St.,30,0.625,+16.49,113.9,97.4,66.9,-.014
Butler,31,0.8181818181818182,+16.09,115.4,99.3,58.6,+.073
Gonzaga,33,0.7272727272727273,+15.58,113.2,97.7,66.9,-.021
Colorado,34,0.625,+15.27,109.1,93.8,69.9,+.001
Cincinnati,36,0.5862068965517241,+14.69,105.0,90.3,66.4,-.066
UNC Wilmington,37,0.7741935483870968,+14.62,109.5,94.9,64.1,-.031
Alabama,38,0.5862068965517241,+14.60,110.3,95.7,65.3,-.015
Stanford,39,0.7272727272727273,+14.57,109.8,95.2,65.6,+.066
Dayton,40,0.8,+14.53,116.4,101.9,64.4,+.084
Indiana,41,0.6176470588235294,+14.48,113.4,98.9,63.7,+.050
Oregon,42,0.696969696969697,+14.25,111.4,97.1,71.2,+.032
Utah,44,0.7575757575757576,+14.04,106.6,92.6,62.1,+.069
Auburn,46,0.6470588235294118,+13.63,107.7,94.1,66.6,+.051
California,47,0.7096774193548387,+13.59,109.9,96.3,65.9,+.061
Penn,48,0.7857142857142857,+13.35,110.3,96.9,63.3,+.035
Boston College,49,0.6129032258064516,+13.30,117.7,104.4,68.2,+.034
North Carolina St.,50,0.5806451612903226,+13.18,111.2,98.1,65.0,-.023
Tulsa,51,0.696969696969697,+13.04,107.9,94.9,67.4,-.061
Milwaukee,52,0.7419354838709677,+12.97,109.0,96.0,71.2,+.025
Southern Illinois,55,0.7741935483870968,+11.76,110.3,98.6,67.8,+.063
Western Kentucky,56,0.7272727272727273,+11.75,108.0,96.3,67.2,+.035
Holy Cross,66,0.8333333333333334,+10.40,105.5,95.1,65.1,+.065
Manhattan,68,0.7666666666666667,+10.04,105.5,95.4,68.1,+.014
Central Michigan,70,0.78125,+10.01,109.5,99.4,71.7,+.137
Weber St.,76,0.8333333333333334,+8.88,111.4,102.5,66.5,+.073
San Diego,80,0.5862068965517241,+8.32,104.7,96.4,70.9,+.003
Utah St.,88,0.7096774193548387,+7.41,107.1,99.7,61.0,+.003
Troy St.,99,0.8064516129032258,+6.15,106.9,100.8,70.3,+.105
Colorado St.,104,0.5483870967741935,+5.96,110.6,104.6,67.1,+.031
Austin Peay,135,0.7142857142857143,+2.65,100.7,98.0,64.4,+.171
East Tennessee St.,147,0.6071428571428571,+1.75,101.3,99.6,75.2,+.036
Vermont,150,0.6333333333333333,+1.57,101.1,99.5,64.4,+.019
Sam Houston St.,157,0.75,+0.82,101.5,100.6,67.2,+.088
IUPUI,161,0.5757575757575758,+0.46,102.9,102.5,67.0,+.071
Wagner,179,0.65625,-1.16,104.7,105.9,67.6,+.049
South Carolina St.,244,0.6451612903225806,-8.59,96.4,105.0,71.7,+.115
Texas Southern,260,0.5806451612903226,-10.45,98.3,108.7,68.4,+.037
UNC Asheville,283,0.45161290322580644,-12.35,101.2,113.5,68.0,+.119
