,0,1,2,3,4,5,6
Columns,Rank,Win Ratio,AdjEM,AdjO,AdjD,AdjT,Luck
Duke,1,0.8378378378378378,+32.33,120.8,88.5,67.7,-.028
Connecticut,2,0.8461538461538461,+28.30,117.8,89.5,68.2,+.012
Saint Joseph's,3,0.9375,+27.66,118.9,91.2,66.1,+.060
Oklahoma St.,4,0.8857142857142857,+27.37,118.5,91.1,64.8,+.029
Pittsburgh,5,0.8611111111111112,+25.91,114.1,88.2,59.7,-.028
Wisconsin,6,0.78125,+25.74,116.0,90.3,60.7,-.001
Gonzaga,7,0.9032258064516129,+25.34,120.8,95.5,66.6,+.013
Georgia Tech,8,0.7368421052631579,+24.69,113.5,88.8,69.1,+.008
North Carolina St.,9,0.6774193548387096,+23.98,119.1,95.1,62.1,-.072
Kentucky,10,0.84375,+23.35,113.5,90.1,66.1,+.031
North Carolina,11,0.6333333333333333,+23.23,117.4,94.1,70.9,-.091
Stanford,12,0.9375,+22.52,111.9,89.3,64.5,+.051
Illinois,13,0.7878787878787878,+22.11,117.8,95.7,63.5,+.055
Mississippi St.,14,0.8666666666666667,+21.74,114.7,92.9,68.1,+.021
Wake Forest,15,0.6774193548387096,+21.69,121.6,99.9,70.4,-.019
Cincinnati,16,0.78125,+21.56,116.1,94.5,66.7,+.003
Texas,17,0.7575757575757576,+21.54,115.6,94.1,64.7,+.038
Kansas,18,0.7272727272727273,+20.89,112.3,91.4,69.4,+.017
Louisville,19,0.6666666666666666,+20.44,107.1,86.6,67.4,-.079
Nevada,20,0.7352941176470589,+20.27,112.3,92.0,68.7,-.039
Xavier,21,0.7027027027027027,+20.16,113.8,93.6,64.1,-.022
Maryland,22,0.625,+19.81,110.9,91.1,71.1,-.009
Vanderbilt,23,0.696969696969697,+18.64,113.6,95.0,65.0,-.002
Providence,24,0.6896551724137931,+18.32,112.3,93.9,65.0,+.003
Florida,25,0.6451612903225806,+18.26,116.9,98.6,65.9,-.023
Seton Hall,27,0.6774193548387096,+17.35,112.3,95.0,65.4,-.004
Texas Tech,28,0.6764705882352942,+17.11,111.4,94.3,66.7,+.010
Alabama,29,0.6060606060606061,+16.50,114.7,98.2,64.7,+.004
Syracuse,30,0.7419354838709677,+16.34,113.1,96.7,65.7,+.086
Western Michigan,31,0.8387096774193549,+16.29,114.3,98.0,65.6,+.037
Arizona,32,0.6666666666666666,+16.18,118.5,102.3,73.0,-.072
Memphis,33,0.7333333333333333,+16.17,111.8,95.6,66.6,+.012
Michigan St.,34,0.6,+15.66,117.2,101.5,64.0,-.014
BYU,35,0.7,+15.64,113.0,97.4,65.9,+.020
Air Force,36,0.7586206896551724,+15.42,111.4,96.0,51.9,+.025
Boston College,37,0.7058823529411765,+15.42,110.5,95.1,62.6,+.045
Richmond,38,0.6060606060606061,+15.07,105.9,90.9,62.7,-.060
South Carolina,39,0.6764705882352942,+15.02,109.7,94.7,65.5,-.000
UTEP,41,0.75,+14.69,112.5,97.8,68.2,+.046
Southern Illinois,42,0.8333333333333334,+14.33,109.1,94.8,65.2,+.046
Charlotte,43,0.7,+14.25,112.7,98.5,69.7,+.015
Utah,45,0.7272727272727273,+14.13,110.1,96.0,58.8,+.064
UAB,46,0.6875,+13.63,108.1,94.5,70.7,+.019
Utah St.,47,0.8620689655172413,+13.60,115.9,102.3,58.2,+.037
Manhattan,48,0.8064516129032258,+13.38,109.1,95.7,65.0,+.012
DePaul,58,0.6875,+11.36,113.0,101.6,63.2,+.091
Washington,60,0.6129032258064516,+10.78,113.1,102.3,73.5,+.031
Murray St.,61,0.8235294117647058,+10.62,110.5,99.9,68.7,+.064
Illinois Chicago,63,0.75,+10.39,107.5,97.1,64.6,+.037
Louisiana Lafayette,67,0.6896551724137931,+10.23,109.2,99.0,69.1,+.006
Dayton,74,0.7272727272727273,+9.75,108.1,98.4,62.2,+.084
VCU,81,0.7419354838709677,+9.09,105.6,96.5,64.4,+.076
Pacific,82,0.7575757575757576,+8.93,108.6,99.7,63.6,+.096
Northern Iowa,84,0.6774193548387096,+8.78,107.4,98.6,64.8,+.022
East Tennessee St.,85,0.8181818181818182,+8.60,104.4,95.8,73.2,+.016
UCF,98,0.8064516129032258,+5.91,103.3,97.4,62.6,+.087
Princeton,108,0.7142857142857143,+4.86,106.3,101.4,56.4,+.033
Eastern Washington,125,0.5666666666666667,+3.09,105.4,102.3,64.5,+.014
Valparaiso,152,0.5806451612903226,+0.53,100.1,99.6,69.2,+.068
Vermont,172,0.7096774193548387,-1.37,101.0,102.4,63.9,+.113
Liberty,181,0.5454545454545454,-2.50,98.3,100.8,67.5,+.000
Monmouth,194,0.6363636363636364,-3.99,98.1,102.1,66.0,+.112
Lehigh,240,0.6451612903225806,-7.01,97.7,104.7,63.4,+.055
UTSA,248,0.5757575757575758,-7.69,98.0,105.7,68.7,+.103
Florida A&M,256,0.46875,-9.35,98.9,108.3,70.9,+.005
Alabama St.,266,0.5161290322580645,-10.72,93.8,104.5,61.4,+.023
