,0,1,2,3,4,5,6
Columns,Rank,Win Ratio,AdjEM,AdjO,AdjD,AdjT,Luck
Villanova,1,0.875,+32.01,122.8,90.8,66.0,+.023
North Carolina,2,0.825,+29.82,124.4,94.6,70.5,-.055
Kansas,3,0.868421052631579,+29.67,120.0,90.4,69.0,+.044
Virginia,4,0.7837837837837838,+29.64,120.6,91.0,61.3,-.040
Michigan St.,5,0.8285714285714286,+27.97,123.4,95.5,66.5,-.012
Kentucky,6,0.75,+25.14,121.8,96.6,67.4,-.046
West Virginia,8,0.7428571428571429,+24.45,115.3,90.9,69.5,+.003
Purdue,9,0.7428571428571429,+23.85,116.9,93.1,67.9,-.046
Oklahoma,10,0.7837837837837838,+23.78,117.9,94.1,69.8,+.082
Indiana,11,0.7714285714285715,+23.05,121.7,98.7,68.2,+.000
Oregon,12,0.8157894736842105,+22.68,119.1,96.4,68.1,+.041
Wichita St.,13,0.7428571428571429,+22.53,111.3,88.7,66.0,-.079
Xavier,14,0.8235294117647058,+22.52,117.1,94.6,71.9,+.047
Miami FL,15,0.7714285714285715,+22.44,119.4,96.9,65.9,+.077
SMU,16,0.8333333333333334,+21.98,119.3,97.3,65.8,+.014
Duke,17,0.6944444444444444,+21.87,121.9,100.0,67.7,-.026
Texas A&M,18,0.7567567567567568,+21.26,113.8,92.5,67.1,+.006
Arizona,19,0.7352941176470589,+20.97,116.8,95.8,68.3,-.038
Iowa St.,20,0.6571428571428571,+20.95,121.2,100.3,71.2,-.062
Gonzaga,21,0.7777777777777778,+20.82,116.3,95.5,67.3,-.038
Maryland,22,0.75,+20.25,116.2,95.9,67.4,+.016
Iowa,23,0.6666666666666666,+20.24,116.1,95.9,68.8,-.071
Baylor,24,0.6470588235294118,+19.06,118.9,99.8,66.6,-.012
Vanderbilt,25,0.5757575757575758,+18.76,113.6,94.9,67.8,-.106
Connecticut,26,0.6944444444444444,+18.71,111.9,93.2,65.9,-.036
Syracuse,27,0.6216216216216216,+18.57,112.7,94.1,65.0,-.027
California,28,0.6764705882352942,+18.32,112.5,94.2,68.1,-.053
Seton Hall,29,0.7352941176470589,+18.27,111.1,92.9,69.7,+.016
Butler,30,0.6666666666666666,+17.27,118.0,100.7,67.9,-.009
VCU,31,0.6944444444444444,+17.07,112.1,95.0,69.6,-.070
Cincinnati,32,0.6666666666666666,+17.06,111.2,94.1,64.0,-.067
Utah,33,0.75,+16.79,115.6,98.8,65.3,+.112
Notre Dame,36,0.6666666666666666,+16.60,120.6,104.0,64.6,+.054
Pittsburgh,37,0.6363636363636364,+16.60,114.9,98.3,65.3,-.011
Wisconsin,38,0.6285714285714286,+16.55,110.1,93.6,63.3,-.022
Texas,39,0.6060606060606061,+16.19,113.0,96.8,65.3,+.022
Stephen F. Austin,41,0.8235294117647058,+15.62,112.2,96.6,67.3,+.007
Saint Joseph's,43,0.7777777777777778,+15.37,114.3,98.9,70.2,+.030
Providence,44,0.6857142857142857,+14.49,110.0,95.5,68.4,+.062
Yale,47,0.7666666666666667,+14.33,110.4,96.0,66.0,+.026
USC,49,0.6176470588235294,+14.25,113.9,99.7,71.0,-.028
Michigan,50,0.6388888888888888,+14.15,114.6,100.5,65.8,+.013
Texas Tech,54,0.59375,+13.78,113.2,99.4,66.0,+.028
Arkansas Little Rock,56,0.8571428571428571,+13.24,109.2,96.0,63.4,+.056
Colorado,57,0.6470588235294118,+12.91,108.8,95.9,69.0,+.015
Dayton,59,0.7575757575757576,+12.63,106.6,94.0,67.8,+.082
Hawaii,60,0.8235294117647058,+12.16,108.2,96.1,70.6,+.013
Oregon St.,64,0.59375,+11.65,110.7,99.1,67.1,+.043
Tulsa,65,0.625,+11.50,111.2,99.7,68.4,-.003
Northern Iowa,67,0.6388888888888888,+11.13,109.6,98.5,62.9,+.013
South Dakota St.,80,0.7647058823529411,+9.57,111.4,101.8,68.3,+.004
UNC Wilmington,83,0.7575757575757576,+9.21,110.7,101.5,70.3,+.033
Temple,86,0.6363636363636364,+8.82,107.0,98.1,65.9,+.095
Stony Brook,94,0.7878787878787878,+8.13,107.3,99.1,67.2,+.049
Iona,104,0.6666666666666666,+7.13,110.5,103.4,71.9,-.005
Fresno St.,108,0.7142857142857143,+6.63,107.4,100.8,69.0,+.085
Chattanooga,109,0.8285714285714286,+6.50,107.5,101.0,66.3,+.132
Cal St. Bakersfield,110,0.7272727272727273,+6.26,104.0,97.8,67.6,-.003
Middle Tennessee,119,0.7142857142857143,+4.76,104.6,99.9,67.6,+.088
Green Bay,127,0.6388888888888888,+3.74,108.3,104.6,76.2,+.057
UNC Asheville,131,0.6470588235294118,+3.44,103.6,100.1,70.1,-.008
Buffalo,138,0.5714285714285714,+2.95,105.9,102.9,72.1,+.044
Weber St.,142,0.7428571428571429,+2.45,103.4,100.9,66.8,+.019
Florida Gulf Coast,162,0.6,-0.08,103.6,103.7,67.0,-.038
Austin Peay,217,0.5,-5.10,104.5,109.6,69.5,+.061
Southern,229,0.6285714285714286,-5.75,100.5,106.3,68.9,+.040
Hampton,248,0.65625,-7.40,99.8,107.2,71.2,+.157
Fairleigh Dickinson,280,0.5454545454545454,-10.63,104.4,115.0,71.5,+.097
Holy Cross,285,0.42857142857142855,-11.39,97.1,108.5,63.6,+.065
