,0,1,2,3,4,5,6
Columns,Rank,Win Ratio,AdjEM,AdjO,AdjD,AdjT,Luck
Florida,1,0.8461538461538461,+28.28,117.9,89.7,66.9,-.011
Duke,2,0.8888888888888888,+27.54,119.4,91.8,69.8,+.047
Texas,3,0.8108108108108109,+25.79,117.5,91.7,63.9,+.039
Connecticut,4,0.8823529411764706,+25.44,117.8,92.3,68.7,+.077
Villanova,5,0.8484848484848485,+24.59,116.3,91.7,65.6,+.080
Memphis,6,0.8918918918918919,+23.54,113.2,89.6,70.8,-.007
UCLA,7,0.8205128205128205,+23.40,112.7,89.3,61.6,+.020
Kansas,8,0.7575757575757576,+23.22,110.4,87.2,67.7,-.043
Illinois,9,0.7878787878787878,+23.20,114.5,91.3,62.1,-.019
North Carolina,10,0.7419354838709677,+22.16,115.9,93.7,70.2,-.010
LSU,11,0.75,+22.00,109.8,87.8,67.5,+.008
Pittsburgh,12,0.7575757575757576,+21.72,112.4,90.6,64.6,-.031
Georgetown,13,0.696969696969697,+21.29,116.5,95.2,57.8,-.026
Ohio St.,14,0.8125,+20.68,113.0,92.3,65.2,+.028
Washington,15,0.7878787878787878,+20.09,114.8,94.7,71.6,+.007
West Virginia,16,0.6666666666666666,+19.49,116.1,96.6,62.5,-.046
Tennessee,17,0.7333333333333333,+19.44,116.6,97.2,71.1,+.012
Boston College,18,0.7777777777777778,+18.65,117.8,99.2,61.5,+.024
Arkansas,20,0.6875,+18.47,112.2,93.8,66.0,-.062
Iowa,21,0.7352941176470589,+18.22,103.8,85.6,64.7,+.046
George Mason,22,0.7714285714285715,+18.16,109.7,91.5,62.6,+.017
Arizona,23,0.6060606060606061,+17.23,112.2,95.0,67.7,-.037
Kentucky,24,0.6285714285714286,+17.13,114.4,97.3,64.1,-.001
Bradley,25,0.6666666666666666,+16.50,107.5,91.0,69.3,-.019
Wichita St.,26,0.7428571428571429,+16.06,111.8,95.7,62.6,+.032
Michigan St.,27,0.6470588235294118,+16.02,116.3,100.3,64.2,+.004
North Carolina St.,30,0.6875,+15.92,112.5,96.6,64.4,+.013
Texas A&M,31,0.7096774193548387,+15.90,106.7,90.8,63.0,-.008
Northern Iowa,32,0.696969696969697,+15.84,109.0,93.1,59.6,-.025
Gonzaga,33,0.8787878787878788,+15.64,119.1,103.5,66.3,+.036
Indiana,34,0.6129032258064516,+15.53,110.0,94.4,66.5,-.012
Marquette,36,0.6451612903225806,+15.36,112.8,97.4,68.1,-.012
Nevada,37,0.8181818181818182,+15.22,110.0,94.8,65.8,+.024
Wisconsin,39,0.6129032258064516,+14.94,111.5,96.6,65.2,-.024
Air Force,40,0.7741935483870968,+14.87,113.2,98.3,54.7,-.001
UNC Wilmington,42,0.7575757575757576,+14.77,107.2,92.4,62.6,-.006
George Washington,43,0.9,+14.67,110.3,95.6,71.2,+.106
Oklahoma,45,0.6896551724137931,+13.99,113.0,99.0,62.4,+.049
California,47,0.6451612903225806,+13.68,110.5,96.8,61.9,+.021
Southern Illinois,48,0.6666666666666666,+13.60,102.9,89.3,60.7,+.032
Syracuse,50,0.6571428571428571,+13.15,110.0,96.8,68.3,+.077
San Diego St.,52,0.7272727272727273,+12.78,112.8,100.0,66.1,-.001
Xavier,54,0.65625,+12.73,110.9,98.2,65.3,-.065
UAB,56,0.7741935483870968,+12.65,109.1,96.5,68.5,+.058
Bucknell,58,0.84375,+12.56,105.7,93.1,61.8,+.092
Alabama,60,0.5806451612903226,+12.48,112.8,100.3,63.4,+.005
Milwaukee,62,0.7096774193548387,+11.86,108.3,96.5,67.7,+.017
Iona,65,0.7419354838709677,+11.33,109.7,98.4,69.6,+.024
Pacific,68,0.75,+10.87,109.8,99.0,62.8,+.010
Utah St.,69,0.71875,+10.86,113.4,102.6,60.9,+.026
Kent St.,70,0.7352941176470589,+10.54,108.3,97.8,65.7,+.017
Winthrop,73,0.7419354838709677,+10.27,104.4,94.2,64.0,-.027
South Alabama,84,0.7741935483870968,+9.28,109.1,99.9,65.7,+.056
Seton Hall,86,0.6,+9.06,106.5,97.4,65.7,+.086
Montana,87,0.7741935483870968,+8.95,111.6,102.7,66.2,+.056
Murray St.,89,0.7741935483870968,+8.56,104.5,96.0,63.2,+.010
Northwestern St.,93,0.7647058823529411,+7.51,106.6,99.1,67.6,+.016
Penn,97,0.6896551724137931,+7.30,101.8,94.5,64.3,-.030
Oral Roberts,112,0.6363636363636364,+5.70,107.1,101.4,66.9,-.035
Davidson,122,0.6451612903225806,+4.86,109.9,105.0,66.0,-.025
Albany,138,0.65625,+2.63,106.2,103.6,63.8,+.027
Monmouth,164,0.5588235294117647,-0.68,95.8,96.4,64.6,+.018
Belmont,165,0.6451612903225806,-0.73,107.1,107.8,69.1,+.024
Southern,197,0.59375,-3.40,96.2,99.6,64.8,+.081
Hampton,271,0.5,-10.40,91.9,102.3,68.5,-.057
