,0,1,2,3,4,5,6
Columns,Rank,Win Ratio,AdjEM,AdjO,AdjD,AdjT,Luck
Duke,1,0.8857142857142857,+34.19,121.0,86.8,74.5,-.027
Cincinnati,2,0.8857142857142857,+30.19,118.1,87.9,67.4,+.002
Maryland,3,0.8888888888888888,+29.25,119.2,89.9,73.7,+.025
Kansas,4,0.8918918918918919,+28.99,118.7,89.7,77.3,+.022
Oklahoma,5,0.8611111111111112,+26.04,114.9,88.9,66.5,+.043
Indiana,6,0.6756756756756757,+24.80,114.0,89.2,65.6,-.049
Florida,7,0.7096774193548387,+24.72,115.1,90.4,69.6,-.073
Illinois,8,0.7428571428571429,+23.21,115.7,92.5,68.5,+.016
Oregon,9,0.7428571428571429,+22.97,119.2,96.3,71.1,-.041
Kentucky,10,0.6875,+22.21,113.4,91.2,68.0,-.029
Marquette,11,0.7878787878787878,+21.47,113.4,91.9,64.6,+.006
USC,12,0.6875,+20.67,112.8,92.1,70.1,-.051
Arizona,13,0.7058823529411765,+20.54,119.3,98.8,71.1,+.079
Kent St.,14,0.8285714285714286,+20.39,116.7,96.4,64.7,+.008
Stanford,15,0.6666666666666666,+20.32,116.6,96.3,69.5,-.020
Pittsburgh,16,0.8285714285714286,+19.94,112.1,92.2,63.8,+.000
Ohio St.,17,0.75,+19.76,116.4,96.6,66.8,+.005
Connecticut,18,0.7941176470588235,+19.36,112.2,92.8,68.7,+.063
Notre Dame,19,0.65625,+19.27,116.1,96.8,68.6,-.087
North Carolina St.,21,0.6764705882352942,+19.15,113.2,94.0,67.5,+.012
Alabama,22,0.7714285714285715,+18.73,114.0,95.3,68.0,+.076
Xavier,23,0.8125,+18.60,111.2,92.6,67.0,+.051
Gonzaga,24,0.875,+18.51,115.6,97.1,68.5,+.049
Georgia,25,0.7096774193548387,+18.44,116.7,98.3,69.2,-.021
Mississippi St.,26,0.7714285714285715,+18.25,111.4,93.1,67.9,+.107
Texas,27,0.6470588235294118,+17.69,116.0,98.3,68.5,-.021
Missouri,29,0.6666666666666666,+17.49,116.2,98.7,70.1,-.010
Wake Forest,30,0.6176470588235294,+17.35,118.6,101.3,69.5,+.006
Texas Tech,31,0.71875,+17.24,114.6,97.4,69.8,+.061
Michigan St.,32,0.6129032258064516,+16.86,113.0,96.2,63.3,-.026
Mississippi,34,0.6333333333333333,+16.68,113.3,96.7,64.7,-.040
UCLA,35,0.6363636363636364,+16.34,113.7,97.3,68.1,+.048
California,37,0.71875,+16.03,109.8,93.7,66.6,+.088
Oklahoma St.,38,0.71875,+15.80,107.9,92.1,66.0,+.047
Miami FL,39,0.75,+15.77,110.5,94.7,69.1,+.017
Charlotte,40,0.6,+15.73,114.2,98.5,66.8,-.008
Tulsa,41,0.7878787878787878,+15.59,116.0,100.4,69.5,+.001
Western Kentucky,44,0.8666666666666667,+14.51,110.5,96.0,67.5,+.060
Utah,45,0.6785714285714286,+14.08,111.4,97.3,62.1,+.010
Valparaiso,47,0.75,+13.63,111.5,97.8,68.7,-.032
Southern Illinois,49,0.7777777777777778,+13.45,109.2,95.7,70.6,+.034
Wisconsin,50,0.5806451612903226,+13.22,110.7,97.5,63.3,+.049
Hawaii,51,0.8125,+13.15,110.3,97.2,65.6,+.007
Penn,58,0.78125,+12.23,110.2,98.0,65.6,-.019
Creighton,59,0.71875,+11.82,111.3,99.5,66.9,+.029
Pepperdine,62,0.7,+11.72,111.1,99.3,72.4,+.061
UNC Wilmington,65,0.696969696969697,+11.32,107.4,96.1,63.9,-.003
Wyoming,67,0.7096774193548387,+11.01,107.8,96.7,69.0,+.032
Boston College,71,0.625,+9.97,109.4,99.4,69.1,+.040
San Diego St.,74,0.6363636363636364,+9.29,106.9,97.6,70.0,+.055
St. John's,76,0.625,+9.06,102.7,93.6,69.1,+.089
UC Santa Barbara,77,0.6333333333333333,+8.87,108.2,99.3,63.4,-.058
St. Bonaventure,78,0.5666666666666667,+8.59,116.1,107.5,71.5,-.030
McNeese St.,100,0.6896551724137931,+5.39,103.2,97.8,66.2,+.023
Hampton,116,0.78125,+3.99,109.9,105.9,69.1,+.013
Illinois Chicago,118,0.5625,+3.85,108.9,105.0,67.5,+.040
Davidson,119,0.6428571428571429,+3.70,101.5,97.8,65.1,+.142
Murray St.,146,0.5666666666666667,+1.35,106.8,105.5,69.2,+.017
Central Connecticut,150,0.84375,+0.93,100.6,99.7,64.0,+.137
Holy Cross,162,0.5454545454545454,-0.24,98.1,98.4,62.2,-.048
Siena,174,0.4722222222222222,-1.21,100.8,102.0,66.5,-.070
Florida Atlantic,191,0.6,-2.50,99.6,102.1,70.2,+.060
Boston University,194,0.6875,-2.74,101.3,104.0,64.5,+.102
Montana,210,0.4827586206896552,-4.51,102.4,106.9,68.5,+.053
Winthrop,219,0.5862068965517241,-5.31,97.3,102.6,65.9,+.038
Alcorn St.,252,0.6666666666666666,-8.71,100.1,108.8,73.0,+.097
