,0,1,2,3,4,5,6
Columns,Rank,Win Ratio,AdjEM,AdjO,AdjD,AdjT,Luck
Gonzaga,1,0.9487179487179487,+32.05,118.4,86.3,70.1,+.020
Villanova,2,0.8888888888888888,+29.88,122.4,92.5,64.1,+.010
North Carolina,3,0.825,+28.22,120.7,92.5,71.3,+.037
Kentucky,4,0.8421052631578947,+27.72,119.1,91.4,72.0,+.006
Florida,5,0.75,+27.50,116.9,89.5,69.0,-.041
Kansas,6,0.8611111111111112,+27.45,121.9,94.5,70.2,+.067
West Virginia,7,0.7567567567567568,+27.17,116.5,89.4,69.9,-.043
Wichita St.,8,0.8611111111111112,+26.14,118.7,92.6,68.0,-.021
Louisville,9,0.7352941176470589,+25.51,117.2,91.7,67.9,-.023
Oregon,10,0.8461538461538461,+25.02,118.2,93.2,67.0,+.034
SMU,11,0.8571428571428571,+24.73,119.8,95.0,63.5,+.003
Virginia,12,0.6764705882352942,+24.29,112.2,88.0,59.2,-.030
Baylor,13,0.7714285714285715,+24.23,117.1,92.9,63.7,+.023
Duke,14,0.7567567567567568,+24.17,121.0,96.8,68.3,+.014
Saint Mary's,15,0.8529411764705882,+23.67,118.7,95.0,60.2,+.030
UCLA,16,0.8611111111111112,+23.63,124.0,100.4,72.6,+.021
Iowa St.,17,0.6857142857142857,+23.45,119.7,96.3,68.4,-.019
Arizona,18,0.8648648648648649,+23.31,118.4,95.1,66.0,+.046
Purdue,19,0.7714285714285715,+23.12,117.0,93.9,69.1,+.016
Michigan,20,0.6842105263157895,+23.05,122.3,99.2,63.1,-.025
Wisconsin,21,0.7297297297297297,+22.99,115.1,92.1,63.4,-.003
Oklahoma St.,22,0.6060606060606061,+22.48,126.0,103.5,70.4,-.071
Cincinnati,23,0.8333333333333334,+22.18,114.9,92.8,63.5,+.026
South Carolina,24,0.7027027027027027,+20.80,108.9,88.1,68.6,-.005
Butler,25,0.7352941176470589,+20.76,117.7,97.0,65.9,+.002
Florida St.,26,0.7428571428571429,+20.06,115.5,95.5,71.3,+.039
Notre Dame,27,0.7222222222222222,+19.74,118.1,98.4,67.0,+.024
Creighton,28,0.7142857142857143,+18.83,115.3,96.5,71.2,+.004
Kansas St.,30,0.6,+17.44,113.0,95.6,66.2,-.029
Xavier,31,0.631578947368421,+16.70,115.7,99.0,67.2,+.044
Marquette,32,0.59375,+16.58,120.8,104.2,70.1,-.058
Vanderbilt,33,0.5428571428571428,+16.53,112.4,95.9,65.8,-.048
Rhode Island,34,0.7142857142857143,+16.26,111.5,95.2,66.4,-.033
Arkansas,35,0.7222222222222222,+16.25,116.1,99.8,69.7,+.086
Wake Forest,36,0.5757575757575758,+16.25,120.9,104.7,70.7,-.043
Minnesota,37,0.7058823529411765,+16.00,109.7,93.7,69.5,+.022
Northwestern,38,0.6666666666666666,+15.81,111.3,95.5,65.6,+.019
Dayton,39,0.75,+15.57,111.9,96.3,68.4,-.021
Michigan St.,40,0.5714285714285714,+15.51,111.4,95.9,66.9,-.011
Miami FL,42,0.6363636363636364,+15.03,109.9,94.9,63.0,+.031
Middle Tennessee,43,0.8611111111111112,+14.95,112.2,97.2,64.6,+.011
Maryland,46,0.7272727272727273,+14.34,113.1,98.7,67.2,+.061
VCU,48,0.7428571428571429,+14.07,110.1,96.0,68.8,+.026
Virginia Tech,50,0.6666666666666666,+13.80,117.3,103.5,68.4,+.053
Seton Hall,51,0.6363636363636364,+13.63,109.4,95.8,67.5,+.058
USC,53,0.7222222222222222,+13.45,114.2,100.7,68.7,+.079
Nevada,54,0.8,+13.31,114.6,101.3,69.7,+.055
Princeton,58,0.7666666666666667,+12.61,109.0,96.4,63.2,+.007
UNC Wilmington,59,0.8285714285714286,+12.46,118.0,105.5,70.3,+.039
Providence,60,0.6060606060606061,+12.43,108.5,96.0,66.2,+.014
Vermont,63,0.8285714285714286,+11.67,111.1,99.4,64.5,+.053
East Tennessee St.,67,0.7714285714285715,+11.10,108.0,96.9,70.1,+.005
Bucknell,76,0.7428571428571429,+9.38,109.7,100.3,70.0,+.006
New Mexico St.,84,0.8235294117647058,+7.89,110.5,102.6,67.9,+.063
Florida Gulf Coast,108,0.7647058823529411,+5.07,109.4,104.4,65.9,+.037
Winthrop,113,0.7878787878787878,+4.53,106.1,101.6,71.1,+.029
Iona,117,0.6285714285714286,+4.20,110.8,106.6,70.6,+.013
Troy,137,0.5945945945945946,+2.04,109.7,107.6,68.1,-.023
Northern Kentucky,138,0.6857142857142857,+1.91,106.8,104.9,68.0,+.073
Kent St.,141,0.6111111111111112,+1.68,104.9,103.3,68.3,+.024
Jacksonville St.,157,0.5714285714285714,+0.63,105.8,105.2,63.6,+.028
North Carolina Central,161,0.7352941176470589,+0.36,102.2,101.9,66.7,-.055
North Dakota,168,0.6875,+0.04,103.6,103.5,71.5,+.048
New Orleans,178,0.625,-0.52,101.3,101.8,66.2,+.046
South Dakota St.,185,0.5142857142857142,-1.19,110.2,111.4,67.2,+.029
Mount St. Mary's,209,0.5555555555555556,-3.86,99.5,103.4,66.8,+.074
Texas Southern,212,0.6571428571428571,-4.04,103.5,107.5,68.6,+.125
UC Davis,218,0.6388888888888888,-4.41,97.8,102.2,68.9,+.131
