,0,1,2,3,4,5,6
Columns,Rank,Win Ratio,AdjEM,AdjO,AdjD,AdjT,Luck
Louisville,1,0.875,+32.92,117.7,84.8,65.8,-.016
Florida,2,0.7837837837837838,+31.18,117.2,86.0,61.9,-.089
Indiana,3,0.8055555555555556,+29.31,120.8,91.5,66.0,-.021
Michigan,4,0.7948717948717948,+27.86,121.9,94.0,64.0,-.007
Gonzaga,5,0.9142857142857143,+27.81,120.5,92.7,63.3,+.026
Duke,6,0.8333333333333334,+26.98,119.1,92.1,66.7,+.033
Ohio St.,7,0.7837837837837838,+25.42,115.1,89.7,63.6,+.020
Kansas,8,0.8378378378378378,+25.23,112.7,87.5,66.4,+.010
Syracuse,9,0.75,+24.83,113.1,88.3,63.1,-.004
Michigan St.,10,0.75,+24.17,112.6,88.5,63.1,+.001
Pittsburgh,11,0.7272727272727273,+24.08,115.6,91.5,59.3,-.058
Wisconsin,12,0.6571428571428571,+22.57,108.3,85.7,60.4,-.033
Miami FL,13,0.8055555555555556,+22.37,113.6,91.3,61.9,+.028
Arizona,14,0.7714285714285715,+21.88,115.4,93.5,65.5,-.012
Creighton,15,0.7777777777777778,+21.75,118.3,96.5,63.8,-.009
Georgetown,16,0.78125,+21.24,107.6,86.4,61.2,+.038
Wichita St.,17,0.7692307692307693,+20.31,111.8,91.5,63.8,-.002
VCU,18,0.75,+20.28,114.0,93.7,66.4,+.002
Saint Louis,19,0.8,+20.01,108.6,88.6,63.8,+.000
Minnesota,20,0.6176470588235294,+19.85,114.8,95.0,62.3,-.036
Saint Mary's,21,0.8,+19.33,116.1,96.8,62.9,+.023
Colorado St.,22,0.7428571428571429,+19.12,117.9,98.8,63.8,+.020
New Mexico,23,0.8285714285714286,+19.02,109.9,90.9,63.7,+.073
Oklahoma St.,24,0.7272727272727273,+18.69,109.0,90.3,66.1,-.016
Missouri,25,0.6764705882352942,+18.53,114.9,96.4,66.3,-.032
Marquette,26,0.7428571428571429,+18.32,113.2,94.9,63.3,+.090
Kansas St.,27,0.7714285714285715,+18.16,113.5,95.3,61.4,+.051
Iowa St.,30,0.6571428571428571,+17.63,117.5,99.8,68.3,-.046
San Diego St.,31,0.6764705882352942,+17.43,107.7,90.3,65.5,-.049
North Carolina,32,0.6944444444444444,+17.14,112.2,95.1,69.6,+.038
North Carolina St.,33,0.6857142857142857,+16.99,116.8,99.8,66.8,-.032
Mississippi,34,0.75,+16.95,112.3,95.3,69.2,-.011
Oregon,35,0.7567567567567568,+16.78,106.6,89.8,67.9,+.052
Notre Dame,36,0.7142857142857143,+16.65,114.6,97.9,60.3,+.046
Memphis,37,0.8611111111111112,+16.33,107.3,91.0,68.3,+.056
UNLV,38,0.7142857142857143,+16.07,106.0,90.0,67.9,-.015
Illinois,39,0.6388888888888888,+15.82,110.6,94.8,64.6,+.042
Cincinnati,40,0.6470588235294118,+15.57,105.9,90.4,63.0,-.012
Butler,42,0.75,+15.41,110.5,95.1,63.6,+.087
Belmont,43,0.7878787878787878,+14.92,111.6,96.6,65.9,+.013
Middle Tennessee,44,0.8235294117647058,+14.77,107.3,92.5,63.4,+.052
Colorado,45,0.6363636363636364,+14.62,106.5,91.9,63.7,+.029
UCLA,46,0.7142857142857143,+14.53,111.1,96.6,68.1,+.068
La Salle,50,0.7058823529411765,+13.89,111.8,98.0,64.6,+.051
Oklahoma,51,0.625,+13.80,111.1,97.3,65.2,+.004
Villanova,53,0.5882352941176471,+13.57,106.3,92.7,66.4,+.011
Boise St.,54,0.65625,+13.54,113.2,99.7,64.8,+.004
California,56,0.6363636363636364,+13.11,107.3,94.2,64.9,+.041
Bucknell,58,0.8235294117647058,+12.72,107.3,94.6,61.9,-.014
Temple,59,0.7058823529411765,+12.67,111.3,98.6,65.6,+.038
Akron,62,0.7878787878787878,+11.52,106.8,95.2,65.2,+.085
Valparaiso,65,0.7647058823529411,+11.42,110.7,99.3,64.3,+.021
Davidson,66,0.7647058823529411,+11.36,112.1,100.7,63.9,-.002
New Mexico St.,88,0.6857142857142857,+7.68,104.7,97.1,63.8,+.039
Iona,89,0.5882352941176471,+7.45,114.4,106.9,69.7,-.070
Harvard,93,0.6666666666666666,+7.07,108.1,101.1,63.3,+.037
South Dakota St.,96,0.7142857142857143,+6.79,112.0,105.2,62.6,+.030
Florida Gulf Coast,105,0.7027027027027027,+6.27,104.9,98.6,67.9,+.039
Pacific,128,0.6285714285714286,+3.96,106.1,102.2,62.2,+.074
Northwestern St.,138,0.71875,+2.82,106.6,103.8,71.9,+.075
Montana,145,0.78125,+2.14,104.9,102.8,62.7,+.175
Albany,150,0.6857142857142857,+1.36,102.6,101.3,61.7,+.082
Southern,162,0.696969696969697,+0.50,99.3,98.8,63.4,-.031
Western Kentucky,173,0.5555555555555556,-0.41,101.8,102.2,64.6,+.029
James Madison,182,0.5833333333333334,-0.92,100.2,101.1,62.9,+.063
LIU Brooklyn,192,0.5882352941176471,-2.13,110.5,112.6,67.3,+.015
North Carolina A&T,227,0.5405405405405406,-5.30,93.2,98.5,65.5,+.037
Liberty,266,0.4166666666666667,-9.38,101.3,110.6,64.4,-.034
