,0,1,2,3,4,5,6
Columns,Rank,Win Ratio,AdjEM,AdjO,AdjD,AdjT,Luck
Virginia,1,0.9210526315789473,+34.22,123.4,89.2,59.4,+.050
Gonzaga,2,0.8918918918918919,+32.85,124.5,91.6,70.2,-.001
Michigan St.,3,0.8205128205128205,+30.81,121.0,90.2,66.9,+.001
Duke,4,0.8421052631578947,+30.62,120.0,89.3,72.1,+.018
Texas Tech,5,0.8157894736842105,+30.03,114.1,84.1,66.6,+.004
Michigan,6,0.8108108108108109,+28.32,114.5,86.2,64.8,-.001
North Carolina,7,0.8055555555555556,+27.69,119.7,92.0,74.3,+.024
Kentucky,8,0.8108108108108109,+27.57,117.6,90.1,65.6,+.033
Purdue,9,0.7222222222222222,+26.81,122.5,95.6,65.9,-.015
Tennessee,10,0.8378378378378378,+26.24,122.7,96.5,67.8,+.034
Auburn,11,0.75,+25.00,120.9,95.9,67.9,+.008
Houston,12,0.8918918918918919,+24.13,115.3,91.2,66.1,+.039
Virginia Tech,13,0.7428571428571429,+24.07,118.1,94.0,63.7,-.005
Florida St.,14,0.7837837837837838,+22.39,112.8,90.4,68.6,+.046
Iowa St.,15,0.6571428571428571,+22.09,118.9,96.8,67.7,-.063
Wisconsin,16,0.6764705882352942,+21.94,110.4,88.5,63.9,-.018
Kansas,17,0.7222222222222222,+21.57,113.9,92.3,70.1,+.076
Wofford,18,0.8571428571428571,+20.69,118.1,97.4,65.7,+.046
LSU,19,0.8,+20.22,117.7,97.5,70.0,+.063
Kansas St.,20,0.7352941176470589,+20.06,108.4,88.4,63.4,+.049
Mississippi St.,21,0.6764705882352942,+20.04,117.7,97.6,67.8,-.038
Buffalo,22,0.8888888888888888,+19.85,115.2,95.4,73.6,+.056
Louisville,23,0.5882352941176471,+19.35,113.7,94.4,67.2,-.060
Maryland,24,0.6764705882352942,+19.29,113.4,94.1,66.0,-.004
Florida,26,0.5555555555555556,+18.30,110.5,92.2,62.9,-.063
Nevada,27,0.8529411764705882,+18.18,114.0,95.9,69.3,+.033
Oregon,28,0.6578947368421053,+17.86,109.5,91.7,64.2,-.048
Cincinnati,29,0.8,+17.50,112.3,94.8,63.4,+.050
Villanova,30,0.7222222222222222,+17.33,116.5,99.2,63.6,+.044
Saint Mary's,31,0.6470588235294118,+17.31,114.7,97.4,62.7,-.045
Oklahoma,32,0.5882352941176471,+16.94,111.1,94.1,68.6,+.023
Marquette,33,0.7058823529411765,+16.52,113.2,96.7,68.8,+.010
UCF,34,0.7272727272727273,+16.51,112.1,95.6,65.0,+.011
Baylor,35,0.5882352941176471,+16.48,115.3,98.8,65.2,-.029
Iowa,37,0.6571428571428571,+16.02,117.4,101.3,69.5,+.050
Utah St.,38,0.8,+15.41,112.6,97.2,68.1,+.012
Syracuse,39,0.5882352941176471,+15.13,110.5,95.3,66.1,-.004
VCU,42,0.7575757575757576,+14.89,104.3,89.5,68.4,+.007
Ohio St.,44,0.5714285714285714,+14.66,109.1,94.4,65.8,+.013
Minnesota,46,0.6111111111111112,+14.35,111.4,97.0,67.4,+.086
Washington,48,0.75,+14.28,107.7,93.5,66.0,+.088
Belmont,49,0.8181818181818182,+14.09,115.6,101.5,71.3,+.025
Mississippi,50,0.6060606060606061,+13.98,113.2,99.2,68.5,-.007
Murray St.,51,0.8484848484848485,+13.83,112.5,98.6,69.4,+.054
New Mexico St.,53,0.8571428571428571,+13.62,113.0,99.3,65.9,+.042
Arizona St.,57,0.6764705882352942,+11.55,109.7,98.2,70.8,+.051
Liberty,58,0.8055555555555556,+11.54,111.1,99.6,62.3,+.009
Seton Hall,60,0.5882352941176471,+11.50,109.0,97.5,69.1,+.023
Temple,69,0.696969696969697,+9.72,109.2,99.5,68.9,+.064
UC Irvine,73,0.8378378378378378,+9.16,107.4,98.2,65.3,+.110
Vermont,76,0.7941176470588235,+8.86,108.5,99.6,65.5,+.043
Yale,77,0.7333333333333333,+8.79,111.6,102.8,71.0,+.041
St. John's,88,0.6176470588235294,+7.61,108.6,101.0,70.8,+.060
Northeastern,89,0.6764705882352942,+7.59,111.0,103.4,66.2,+.050
Northern Kentucky,96,0.7428571428571429,+7.14,109.4,102.3,68.2,-.001
Saint Louis,106,0.6388888888888888,+6.02,102.2,96.2,66.4,+.044
Old Dominion,113,0.7428571428571429,+5.45,101.4,96.0,64.5,+.058
Georgia St.,124,0.7058823529411765,+4.85,107.7,102.8,70.0,+.143
Colgate,126,0.6857142857142857,+4.60,110.5,105.9,66.4,+.012
Montana,137,0.7428571428571429,+3.53,107.4,103.9,66.9,+.059
Abilene Christian,152,0.7941176470588235,+1.35,103.4,102.0,66.1,+.123
Bradley,161,0.5714285714285714,+0.09,101.5,101.4,65.3,+.035
Gardner Webb,163,0.6571428571428571,-0.04,107.8,107.8,67.4,+.070
Iona,198,0.5151515151515151,-2.88,106.9,109.7,70.6,-.024
North Dakota St.,202,0.5428571428571428,-3.20,107.4,110.6,65.0,+.064
Prairie View A&M,209,0.6285714285714286,-4.13,102.1,106.2,71.1,+.061
Fairleigh Dickinson,211,0.6,-4.22,106.5,110.7,66.8,+.040
North Carolina Central,303,0.5294117647058824,-11.55,97.8,109.3,65.3,-.008
