,0,1,2,3,4,5,6
Columns,Rank,Win Ratio,AdjEM,AdjO,AdjD,AdjT,Luck
Kentucky,1,0.95,+32.59,122.2,89.6,65.4,+.032
Ohio St.,2,0.7948717948717948,+30.07,118.1,88.1,66.9,-.050
Michigan St.,3,0.7837837837837838,+27.87,114.7,86.9,64.3,-.027
Kansas,4,0.8205128205128205,+26.91,114.0,87.1,66.3,+.027
Syracuse,5,0.918918918918919,+26.04,117.7,91.7,64.4,+.060
North Carolina,6,0.8421052631578947,+25.44,116.1,90.7,70.9,+.016
Missouri,7,0.8571428571428571,+25.28,125.1,99.8,65.4,+.017
Wisconsin,8,0.7222222222222222,+24.09,113.7,89.6,57.5,-.018
Indiana,9,0.75,+22.55,120.2,97.6,66.7,+.007
Florida,10,0.7027027027027027,+22.47,120.4,98.0,64.2,-.043
Wichita St.,11,0.8181818181818182,+22.36,116.1,93.8,65.7,-.017
Memphis,12,0.7428571428571429,+21.90,114.2,92.3,67.5,-.064
Baylor,13,0.7894736842105263,+21.29,116.0,94.7,65.6,+.059
Saint Louis,14,0.7647058823529411,+21.20,111.9,90.7,61.9,-.056
Georgetown,15,0.7272727272727273,+21.05,111.2,90.1,62.1,-.014
Vanderbilt,16,0.6944444444444444,+20.90,115.6,94.7,64.7,-.048
Louisville,17,0.75,+20.67,106.2,85.5,66.1,+.031
Marquette,18,0.7714285714285715,+20.22,111.5,91.3,70.0,+.042
Duke,19,0.7941176470588235,+19.70,117.7,98.0,66.4,+.057
New Mexico,20,0.8,+19.45,110.8,91.4,65.5,+.003
Gonzaga,21,0.7878787878787878,+18.39,113.1,94.7,64.8,-.018
Michigan,22,0.7058823529411765,+17.52,114.3,96.8,60.1,+.058
Kansas St.,23,0.6666666666666666,+17.52,109.8,92.3,66.5,-.024
Florida St.,24,0.7142857142857143,+17.14,107.6,90.4,66.6,+.034
Belmont,25,0.7714285714285715,+16.96,117.1,100.1,67.2,-.017
Iowa St.,26,0.6764705882352942,+16.69,113.9,97.2,65.8,-.004
Alabama,27,0.6363636363636364,+16.69,106.1,89.5,61.9,-.067
Creighton,28,0.8285714285714286,+16.47,119.2,102.7,65.9,+.079
California,29,0.7058823529411765,+16.37,111.3,94.9,65.7,-.007
Purdue,30,0.6285714285714286,+16.25,116.2,99.9,64.3,-.003
Cincinnati,31,0.7027027027027027,+16.03,109.5,93.5,62.9,+.023
Texas,32,0.5882352941176471,+15.90,112.9,97.0,64.9,-.065
Virginia,33,0.6875,+15.85,105.2,89.3,59.3,-.024
Saint Mary's,34,0.8181818181818182,+15.48,114.3,98.8,63.4,+.036
Murray St.,35,0.9393939393939394,+15.34,108.5,93.2,65.0,+.031
Long Beach St.,36,0.7352941176470589,+15.27,111.7,96.4,66.4,-.047
UNLV,37,0.7428571428571429,+14.97,109.2,94.2,68.7,+.006
Connecticut,38,0.5882352941176471,+14.53,111.3,96.8,63.0,-.032
Temple,39,0.75,+14.49,113.3,98.9,65.9,+.055
Harvard,41,0.8387096774193549,+14.34,108.8,94.4,60.7,+.027
Notre Dame,42,0.6470588235294118,+14.22,110.9,96.7,60.2,+.032
North Carolina St.,43,0.6486486486486487,+14.22,112.1,97.9,67.0,-.004
West Virginia,44,0.5757575757575758,+13.56,111.4,97.9,64.0,-.019
VCU,46,0.8055555555555556,+13.45,106.9,93.5,65.0,+.024
South Florida,48,0.6111111111111112,+13.13,103.9,90.8,58.5,+.040
BYU,50,0.7428571428571429,+12.79,106.3,93.5,72.6,+.020
Xavier,53,0.6388888888888888,+12.59,108.7,96.1,66.4,+.031
Iona,54,0.7575757575757576,+12.26,115.5,103.2,70.0,-.011
Ohio,57,0.7837837837837838,+11.88,106.6,94.7,66.0,+.022
St. Bonaventure,60,0.625,+11.78,110.6,98.9,63.0,-.024
South Dakota St.,61,0.7714285714285715,+11.62,113.7,102.1,64.8,+.030
New Mexico St.,65,0.7222222222222222,+11.22,109.3,98.1,69.4,-.041
San Diego St.,66,0.7647058823529411,+11.16,107.0,95.8,65.8,+.059
Southern Miss,68,0.7352941176470589,+10.83,111.2,100.4,63.8,+.041
Davidson,71,0.7575757575757576,+10.65,112.0,101.4,67.4,+.008
Lehigh,79,0.7714285714285715,+9.29,108.6,99.3,67.6,-.026
Colorado,81,0.6666666666666666,+8.89,104.8,95.9,65.1,+.081
Colorado St.,88,0.625,+8.17,111.9,103.7,63.6,+.075
Montana,104,0.78125,+6.76,103.7,96.9,64.2,+.064
Lamar,108,0.6571428571428571,+6.33,107.6,101.3,66.0,-.028
UNC Asheville,114,0.7058823529411765,+5.50,110.4,104.9,68.2,-.001
Detroit,115,0.6111111111111112,+5.48,108.1,102.6,67.1,-.008
Vermont,118,0.6666666666666666,+5.17,105.3,100.1,61.9,-.024
Loyola MD,129,0.7272727272727273,+3.91,103.9,100.0,63.6,+.114
LIU Brooklyn,162,0.7352941176470589,+0.75,108.7,107.9,73.4,+.117
Norfolk St.,183,0.7222222222222222,-1.82,100.9,102.7,66.6,+.189
Western Kentucky,193,0.45714285714285713,-2.67,97.8,100.5,67.9,+.083
Mississippi Valley St.,237,0.6176470588235294,-6.30,98.0,104.2,68.9,+.125
