,0,1
Teams,Left,Right
UTSA vs Alabama State,70,61
Clemson vs UAB,70,52
UNC-Asheville vs Arkansas-Little Rock,81,77
VCU vs USC,59,46
Ohio State vs UTSA,75,46
Ohio State vs George Mason,98,66
George Mason vs Villanova,61,57
Ohio State vs Kentucky,60,62
West Virginia vs Clemson,84,76
West Virginia vs Kentucky,63,71
Kentucky vs Princeton,59,57
Kentucky vs North Carolina,76,69
Xavier vs Marquette,55,66
Marquette vs Syracuse,66,62
Syracuse vs Indiana State,77,60
Marquette vs North Carolina,63,81
Washington vs Georgia,68,65
Washington vs North Carolina,83,86
North Carolina vs Long Island,102,87
Duke vs Hampton,87,45
Duke vs Michigan,73,71
Michigan vs Tennessee,75,45
Duke vs Arizona,77,93
Arizona vs Memphis,77,75
Arizona vs Texas,70,69
Texas vs Oakland,85,81
Arizona vs Connecticut,63,65
Cincinnati vs Missouri,78,63
Cincinnati vs Connecticut,58,69
Connecticut vs Bucknell,81,52
Connecticut vs San Diego State,74,67
Temple vs Penn State,66,64
Temple vs San Diego State,64,71
San Diego State vs Northern Colorado,68,50
Kansas vs Boston University,72,53
Kansas vs Illinois,73,59
UNLV vs Illinois,62,73
Kansas vs Richmond,77,57
Vanderbilt vs Richmond,66,69
Richmond vs Morehead State,65,48
Louisville vs Morehead State,61,62
Kansas vs VCU,61,71
Georgetown vs VCU,56,74
VCU vs Purdue,94,76
Purdue vs Saint Peter's,65,43
VCU vs Florida State,72,71
Texas A&M vs Florida State,50,57
Florida State vs Notre Dame,71,57
Notre Dame vs Akron,69,56
Pittsburgh vs UNC Asheville,74,51
Pittsburgh vs Butler,70,71
Butler vs Old Dominion,60,58
Butler vs Wisconsin,61,54
Kansas State vs Utah State,73,68
Kansas State vs Wisconsin,65,70
Wisconsin vs Belmont,72,58
Butler vs Florida,74,71
St. John's vs Gonzaga,71,86
Gonzaga vs BYU,67,89
BYU vs Wofford,74,66
BYU vs Florida,74,83
UCLA vs Michigan State,78,76
UCLA vs Florida,65,73
Florida vs UC Santa Barbara,79,51
Kentucky vs Connecticut,55,56
Connecticut vs Butler,53,41
VCU vs Butler,62,70
