,0,1
Teams,Left,Right
Mississippi Valley State vs Western Kentucky,58,59
Lamar vs Vermont,59,71
BYU vs Iona,78,72
California vs South Florida,54,65
Kentucky vs Western Kentucky,81,66
Kentucky vs Iowa State,87,71
Iowa State vs Connecticut,77,64
Kentucky vs Indiana,102,90
Wichita State vs VCU,59,62
VCU vs Indiana,61,63
Indiana vs New Mexico State,79,66
Kentucky vs Baylor,82,70
UNLV vs Colorado,64,68
Colorado vs Baylor,63,80
Baylor vs South Dakota State,68,60
Baylor vs Xavier,75,70
Notre Dame vs Xavier,63,67
Xavier vs Lehigh,70,58
Duke vs Lehigh,70,75
Michigan State vs Long Island,89,67
Michigan State vs Saint Louis,65,61
Memphis vs Saint Louis,54,61
Michigan State vs Louisville,44,57
New Mexico vs Long Beach State,75,68
New Mexico vs Louisville,56,59
Louisville vs Davidson,69,62
Louisville vs Florida,72,68
Murray State vs Colorado State,58,41
Murray State vs Marquette,53,62
Marquette vs BYU,88,68
Marquette vs Florida,58,68
Florida vs Virginia,71,45
Florida vs Norfolk State,84,50
Missouri vs Norfolk State,84,86
Syracuse vs UNC Asheville,72,65
Syracuse vs Kansas State,75,59
Kansas State vs Southern Miss,70,64
Syracuse vs Wisconsin,64,63
Vanderbilt vs Harvard,79,70
Vanderbilt vs Wisconsin,57,60
Wisconsin vs Montana,73,49
Syracuse vs Ohio State,70,77
Cincinnati vs Texas,65,59
Cincinnati vs Florida State,62,56
Florida State vs St. Bonaventure,66,63
Cincinnati vs Ohio State,66,81
Gonzaga vs West Virginia,77,54
Gonzaga vs Ohio State,66,73
Ohio State vs Loyola (MD),78,59
North Carolina vs Vermont,77,58
North Carolina vs Creighton,87,73
Creighton vs Alabama,58,57
North Carolina vs Ohio,73,65
Temple vs South Florida,44,58
South Florida vs Ohio,56,62
Michigan vs Ohio,60,65
North Carolina vs Kansas,67,80
San Diego State vs North Carolina State,65,79
North Carolina State vs Georgetown,66,63
Georgetown vs Belmont,74,59
North Carolina State vs Kansas,57,60
Saint Mary's vs Purdue,69,72
Purdue vs Kansas,60,63
Kansas vs Detroit,65,50
Kentucky vs Louisville,69,61
Kentucky vs Kansas,67,59
Ohio State vs Kansas,62,64
