,0,1
Teams,Left,Right
Prairie View A&M vs Fairleigh Dickinson,76,82
Belmont vs Temple,81,70
North Carolina Central vs North Dakota State,74,78
St. John's vs Arizona State,65,74
Duke vs North Dakota State,85,62
Duke vs UCF,77,76
VCU vs UCF,58,73
Duke vs Virginia Tech,75,73
Mississippi State vs Liberty,76,80
Liberty vs Virginia Tech,58,67
Virginia Tech vs Saint Louis,66,52
Duke vs Michigan State,67,68
Maryland vs Belmont,79,77
Maryland vs LSU,67,69
LSU vs Yale,79,74
LSU vs Michigan State,63,80
Louisville vs Minnesota,76,86
Minnesota vs Michigan State,50,70
Michigan State vs Bradley,76,65
Gonzaga vs Fairleigh Dickinson,87,49
Gonzaga vs Baylor,83,71
Syracuse vs Baylor,69,78
Gonzaga vs Florida State,72,58
Marquette vs Murray State,64,83
Murray State vs Florida State,62,90
Florida State vs Vermont,76,69
Gonzaga vs Texas Tech,69,75
Buffalo vs Arizona State,91,74
Buffalo vs Texas Tech,58,78
Texas Tech vs Northern Kentucky,72,57
Texas Tech vs Michigan,63,44
Nevada vs Florida,61,70
Florida vs Michigan,49,64
Michigan vs Montana,74,55
Virginia vs Gardner–Webb,71,56
Virginia vs Oklahoma,63,51
Ole Miss vs Oklahoma,72,95
Virginia vs Oregon,53,49
Wisconsin vs Oregon,54,72
Oregon vs UC Irvine,73,54
Kansas State vs UC Irvine,64,70
Virginia vs Purdue,80,75
Villanova vs Saint Mary's,61,57
Villanova vs Purdue,61,87
Purdue vs Old Dominion,61,48
Purdue vs Tennessee,99,94
Cincinnati vs Iowa,72,79
Iowa vs Tennessee,77,83
Tennessee vs Colgate,77,70
North Carolina vs Iona,88,73
North Carolina vs Washington,81,59
Utah State vs Washington,61,78
North Carolina vs Auburn,80,97
Auburn vs New Mexico State,78,77
Auburn vs Kansas,89,75
Kansas vs Northeastern,87,53
Auburn vs Kentucky,77,71
Iowa State vs Ohio State,59,62
Ohio State vs Houston,59,74
Houston vs Georgia State,84,55
Houston vs Kentucky,58,62
Wofford vs Seton Hall,84,68
Wofford vs Kentucky,56,62
Kentucky vs Abilene Christian,79,44
Michigan State vs Texas Tech,51,61
Texas Tech vs Virginia,77,85
Virginia vs Auburn,63,62
