,0,1
Teams,Left,Right
Florida A&M vs Lehigh,72,57
Saint Joseph's vs Liberty,82,63
Saint Joseph's vs Texas Tech,70,65
Texas Tech vs Charlotte,76,73
Saint Joseph's vs Wake Forest,84,80
Florida vs Manhattan,60,75
Manhattan vs Wake Forest,80,84
Wake Forest vs VCU,79,78
Saint Joseph's vs Oklahoma State,62,64
Wisconsin vs Richmond,76,64
Wisconsin vs Pittsburgh,55,59
Pittsburgh vs Central Florida,53,44
Pittsburgh vs Oklahoma State,51,63
Memphis vs South Carolina,59,43
Memphis vs Oklahoma State,53,70
Oklahoma State vs Eastern Washington,75,56
Kentucky vs Florida A&M,96,76
Kentucky vs UAB,75,76
Washington vs UAB,100,102
UAB vs Kansas,74,100
Providence vs Pacific,58,66
Pacific vs Kansas,63,78
Kansas vs UIC,78,53
Kansas vs Georgia Tech,71,79
Boston College vs Utah,58,51
Boston College vs Georgia Tech,54,57
Georgia Tech vs Northern Iowa,65,60
Georgia Tech vs Nevada,72,67
Michigan State vs Nevada,66,72
Nevada vs Gonzaga,91,72
Gonzaga vs Valparaiso,76,49
Duke vs Alabama State,96,61
Duke vs Seton Hall,90,62
Seton Hall vs Arizona,80,76
Duke vs Illinois,72,62
Illinois vs Murray State,72,53
Illinois vs Cincinnati,92,68
Cincinnati vs East Tennessee State,80,77
Duke vs Xavier,66,63
North Carolina vs Air Force,63,52
North Carolina vs Texas,75,78
Texas vs Princeton,66,49
Texas vs Xavier,71,79
Xavier vs Louisville,80,70
Xavier vs Mississippi State,89,74
Mississippi State vs Monmouth,85,52
Stanford vs Texas-San Antonio,71,45
Stanford vs Alabama,67,70
Alabama vs Southern Illinois,65,64
Alabama vs Syracuse,80,71
Syracuse vs BYU,80,75
Syracuse vs Maryland,72,70
Maryland vs UTEP,86,83
Alabama vs Connecticut,71,87
Vanderbilt vs Western Michigan,71,58
Vanderbilt vs North Carolina State,75,73
North Carolina State vs Louisiana–Lafayette,61,52
Vanderbilt vs Connecticut,53,73
DePaul vs Dayton,76,69
DePaul vs Connecticut,55,72
Connecticut vs Vermont,70,53
Oklahoma State vs Georgia Tech,65,67
Georgia Tech vs Connecticut,73,82
Duke vs Connecticut,78,79
