,0,1
Teams,Left,Right
Morehead State vs Alabama State,58,41
Louisville vs Morehead State,74,54
Louisville vs Siena,79,72
Ohio State vs Siena,72,74
Louisville vs Arizona,103,64
Utah vs Arizona,71,84
Arizona vs Cleveland State,71,57
Wake Forest vs Cleveland State,69,84
Louisville vs Michigan State,52,64
West Virginia vs 68,60,43
Kansas vs Kansas,60,84
North Dakota State vs Kansas,74,62
Michigan State vs Boston College,67,55
USC vs USC,72,69
Michigan State vs Michigan State,74,77
Robert Morris vs Connecticut,62,103
Chattanooga vs Connecticut,47,92
Texas A&M vs BYU,66,66
Texas A&M vs Connecticut,79,72
Purdue vs Purdue,60,61
Northern Iowa vs Purdue,56,76
Washington vs Washington,74,71
Mississippi State vs Connecticut,58,82
Missouri vs Marquette,75,58
Utah State vs Marquette,57,79
Missouri vs Missouri,83,78
Cornell vs Missouri,59,102
Memphis vs California,91,71
Maryland vs Maryland,84,70
Memphis vs Memphis,89,81
Cal State Northridge vs Pittsburgh,70,72
East Tennessee St. vs Pittsburgh,62,84
Oklahoma State vs Oklahoma State,76,77
Tennessee vs Pittsburgh,75,60
Xavier vs Florida St.,55,59
Wisconsin vs Wisconsin,61,49
Xavier vs Xavier,60,77
Portland St. vs Pittsburgh,59,76
Villanova vs UCLA,78,65
VCU vs UCLA,64,69
Villanova vs Villanova,89,80
American vs Villanova,67,77
Duke vs Texas,54,76
Minnesota vs Texas,62,69
Duke vs Duke,74,86
Binghamton vs North Carolina,62,101
Radford vs North Carolina,58,84
LSU vs LSU,70,75
Butler vs North Carolina,71,98
Gonzaga vs Illinois,77,72
WKU vs WKU,76,81
Gonzaga vs Gonzaga,83,77
Akron vs North Carolina,64,72
Oklahoma vs Arizona State,60,66
Temple vs Arizona State,57,67
Syracuse vs Syracuse,78,59
Stephen F. Austin vs Syracuse,44,71
Oklahoma vs Clemson,84,59
Michigan vs Michigan,62,63
Oklahoma vs Oklahoma,73,82
Morgan State vs Michigan St.,54,82
Connecticut vs Michigan St.,73,72
North Carolina vs Villanova,89,69
