,0,1
Teams,Left,Right
Oklahoma vs South Carolina St,71,54
Oklahoma vs California,74,65
California vs North Carolina State,76,74
Oklahoma vs Butler,65,54
Mississippi St vs Butler,46,47
Butler vs Louisville,79,71
Louisville vs Austin Peay,86,64
Oklahoma vs Syracuse,47,63
Oklahoma St vs Pennsylvania,77,63
Oklahoma St vs Syracuse,56,68
Syracuse vs Manhattan,76,65
Syracuse vs Auburn,79,78
Saint Joseph's vs Auburn,63,65
Auburn vs Wake Forest,68,62
Wake Forest vs East Tennessee State,76,73
Texas vs UNC-Asheville,82,61
Texas vs Purdue,77,67
LSU vs Purdue,56,80
Texas vs Connecticut,82,78
Connecticut vs BYU,58,53
Connecticut vs Stanford,85,74
Stanford vs San Diego,77,69
Texas vs Michigan St,85,76
Maryland vs UNC-Wilmington,75,73
Maryland vs Xavier,77,64
Xavier vs Troy St,71,59
Maryland vs Michigan St,58,60
Michigan St vs Colorado,79,64
Michigan St vs Florida,68,46
Florida vs Sam Houston St,85,55
Kentucky vs IUPUI,95,64
Kentucky vs Utah,74,54
Oregon vs Utah,58,60
Kentucky vs Wisconsin,63,57
Wisconsin vs Weber State,81,74
Wisconsin vs Tulsa,61,60
Dayton vs Tulsa,71,84
Kentucky vs Marquette,69,83
Missouri vs Southern Illinois,72,71
Missouri vs Marquette,92,101
Marquette vs Holy Cross,72,68
Marquette vs Pittsburgh,77,74
Indiana vs Alabama,67,62
Indiana vs Pittsburgh,52,74
Pittsburgh vs Wagner,87,61
Arizona vs Vermont,80,51
Arizona vs Gonzaga,96,95
Cincinnati vs Gonzaga,69,74
Arizona vs Notre Dame,88,71
Notre Dame vs UW–Milwaukee,70,69
Notre Dame vs Illinois,68,60
Illinois vs Western Kentucky,65,60
Arizona vs Kansas,75,78
Creighton vs Central Michigan,73,79
Central Michigan vs Duke,60,86
Duke vs Colorado State,67,57
Duke vs Kansas,65,69
Memphis vs Arizona State,71,84
Arizona St vs Kansas,76,108
Kansas vs Utah St,64,61
Syracuse vs Texas,95,84
Syracuse vs Kansas,81,78
Marquette vs Kansas,61,94
