,0,1
Teams,Left,Right
BYU vs Ole Miss,90,94
Hampton vs Manhattan,74,64
Boise State vs Dayton,55,56
North Florida vs Robert Morris,77,81
Kentucky vs Hampton,79,56
Kentucky vs Cincinnati,64,51
Cincinnati vs Purdue,66,65
Kentucky vs West Virginia,78,39
West Virginia vs Buffalo,68,62
West Virginia vs Maryland,69,59
Maryland vs Valparaiso,65,62
Kentucky vs Notre Dame,68,66
Butler vs Texas,56,48
Butler vs Notre Dame,64,67
Notre Dame vs Northeastern,69,65
Notre Dame vs Wichita State,81,70
Wichita State vs Indiana,81,76
Wichita State vs Kansas,78,65
Kansas vs New Mexico State,75,56
Wisconsin vs Coastal Carolina,86,72
Wisconsin vs Oregon,72,65
Oregon vs Oklahoma State,79,73
Wisconsin vs North Carolina,79,72
Arkansas vs Wofford,56,53
Arkansas vs North Carolina,78,87
North Carolina vs Harvard,67,65
Wisconsin vs Arizona,85,78
Xavier vs Mississippi,76,57
Xavier vs Georgia State,75,67
Baylor vs Georgia State,56,57
Xavier vs Arizona,60,68
Virginia Commonwealth vs Ohio State,72,75
Ohio State vs Arizona,58,73
Arizona vs Texas Southern,93,72
Villanova vs Lafayette,93,52
Villanova vs North Carolina State,68,71
North Carolina State vs LSU,66,65
North Carolina State vs Louisville,65,75
Northern Iowa vs Wyoming,71,54
Northern Iowa vs Louisville,53,66
Louisville vs California-Irvine,57,55
Louisville vs Michigan State,70,76
Providence vs Dayton,53,66
Dayton vs Oklahoma,66,72
Oklahoma vs Albany,69,60
Oklahoma vs Michigan State,58,62
Michigan State vs Georgia,70,63
Michigan State vs Virginia,60,54
Virginia vs Belmont,79,67
Duke vs Robert Morris,85,56
Duke vs San Diego State,68,49
San Diego State vs St. John's,76,64
Duke vs Utah,63,57
Utah vs Stephen F. Austin,57,50
Utah vs Georgetown,75,64
Georgetown vs Eastern Washington,84,74
Duke vs Gonzaga,66,52
Southern Methodist vs UCLA,59,60
UCLA vs UAB,92,75
Iowa State vs UAB,59,60
UCLA vs Gonzaga,62,74
Iowa vs Davidson,83,52
Iowa vs Gonzaga,68,87
Gonzaga vs North Dakota State,86,76
Kentucky vs Wisconsin,64,71
Wisconsin vs Duke,63,68
Michigan State vs Duke,61,81
