,0,1
Teams,Left,Right
Maryland vs Siena,85,70
Maryland vs Wisconsin,87,57
Wisconsin vs St. John's,80,70
Maryland vs Kentucky,78,68
Marquette vs Tulsa,69,71
Tulsa vs Kentucky,82,87
Kentucky vs Valparaiso,83,68
Maryland vs Connecticut,90,82
Texas Tech vs Southern Illinois,68,76
Southern Illinois vs Georgia,77,75
Georgia vs Murray State,85,68
Southern Illinois vs Connecticut,59,71
North Carolina State vs Michigan State,69,58
North Carolina State vs Connecticut,74,77
Connecticut vs Hampton,78,67
Kansas vs Holy Cross,70,59
Kansas vs Stanford,86,63
Stanford vs Western Kentucky,84,68
Kansas vs Illinois,73,69
Florida vs Creighton,82,83
Creighton vs Illinois,60,72
Illinois vs San Diego State,93,64
Kansas vs Oregon,104,86
Texas vs Boston College,70,57
Texas vs Mississippi State,68,64
Mississippi State vs McNeese State,70,58
Texas vs Oregon,70,72
Wake Forest vs Pepperdine,83,74
Wake Forest vs Oregon,87,92
Oregon vs Montana,81,62
Duke vs Winthrop,84,37
Duke vs Notre Dame,84,77
Notre Dame vs Charlotte,82,63
Duke vs Indiana,73,74
Indiana vs Utah,75,56
Indiana vs UNC-Wilmington,76,67
Southern California vs UNC-Wilmington,89,93
Indiana vs Kent State,81,69
California vs Pennsylvania,82,75
California vs Pittsburgh,50,63
Pittsburgh vs Central Connecticut State,71,54
Pittsburgh vs Kent State,73,78
Oklahoma State vs Kent State,61,69
Kent State vs Alabama,71,58
Alabama vs Florida Atlantic,86,78
Cincinnati vs Boston University,90,52
Cincinnati vs UCLA,101,105
UCLA vs Ole Miss,80,58
UCLA vs Missouri,73,82
Miami (FL) vs Missouri,80,93
Missouri vs Ohio State,83,67
Ohio State vs Davidson,69,64
Missouri vs Oklahoma,75,81
Gonzaga vs Wyoming,66,73
Wyoming vs Arizona,60,68
Arizona vs UC-Santa Barbara,86,81
Arizona vs Oklahoma,67,88
Xavier vs Hawaii,70,58
Xavier vs Oklahoma,65,78
Oklahoma vs Illinois-Chicago,71,63
Maryland vs Kansas,97,88
Maryland vs Indiana,64,52
Indiana vs Oklahoma,73,64
