,0,1
Teams,Left,Right
Vanderbilt vs Wichita State,50,70
Florida Gulf Coast vs Fairleigh Dickinson,96,65
Michigan vs Tulsa,67,62
Holy Cross vs Southern,59,55
Kansas vs Austin Peay,105,79
Kansas vs UConn,73,61
Colorado vs UConn,67,74
Kansas vs Maryland,79,63
Maryland vs South Dakota State,79,74
Maryland vs Hawaii,73,60
California vs Hawaii,66,77
Kansas vs Villanova,59,64
Arizona vs Wichita State,55,65
Wichita State vs Miami (FL),57,65
Miami (FL) vs Buffalo,79,72
Miami (FL) vs Villanova,69,92
Iowa vs Temple,72,70
Iowa vs Villanova,68,87
Villanova vs UNC Asheville,86,56
Oregon vs Holy Cross,91,52
Oregon vs Saint Joseph's,69,64
Saint Joseph's vs Cincinnati,78,76
Oregon vs Duke,82,68
Baylor vs Yale,75,79
Yale vs Duke,64,71
Duke vs UNC Wilmington,93,85
Oregon vs Oklahoma,68,80
Texas vs Northern Iowa,72,75
Northern Iowa vs Texas A&M,88,92
Texas A&M vs Green Bay,92,65
Texas A&M vs Oklahoma,63,77
Oregon State vs VCU,67,75
VCU vs Oklahoma,81,85
Oklahoma vs Cal State Bakersfield,82,68
North Carolina vs Florida Gulf Coast,83,67
North Carolina vs Providence,85,66
USC vs Providence,69,70
North Carolina vs Indiana,101,86
Indiana vs Chattanooga,99,74
Indiana vs Kentucky,73,67
Kentucky vs Stony Brook,85,57
North Carolina vs Notre Dame,88,74
Notre Dame vs Michigan,70,63
Notre Dame vs Stephen F. Austin,76,75
West Virginia vs Stephen F. Austin,56,70
Notre Dame vs Wisconsin,61,56
Wisconsin vs Pittsburgh,47,43
Wisconsin vs Xavier,66,63
Xavier vs Weber State,71,53
Virginia vs Hampton,81,45
Virginia vs Butler,77,69
Texas Tech vs Butler,61,71
Virginia vs Iowa State,84,71
Purdue vs Little Rock,83,85
Little Rock vs Iowa State,61,78
Iowa State vs Iona,94,81
Virginia vs Syracuse,62,68
Seton Hall vs Gonzaga,52,68
Gonzaga vs Utah,82,59
Utah vs Fresno State,80,69
Gonzaga vs Syracuse,60,63
Dayton vs Syracuse,51,70
Syracuse vs Middle Tennessee,75,50
Michigan State vs Middle Tennessee,81,90
Villanova vs Oklahoma,95,51
Villanova vs North Carolina,77,74
North Carolina vs Syracuse,83,66
