,0,1
Teams,Left,Right
Oakland vs Alabama A&M,79,69
Illinois vs Fairleigh Dickinson,67,55
Illinois vs Nevada,71,59
Texas vs Nevada,57,61
Illinois vs UW–Milwaukee,77,63
Alabama vs UW–Milwaukee,73,83
UW–Milwaukee vs Boston College,83,75
Boston College vs Pennsylvania,85,65
Illinois vs Arizona,90,89
LSU vs UAB,68,82
UAB vs Arizona,63,85
Arizona vs Utah State,66,53
Arizona vs Oklahoma State,79,78
Southern Illinois vs St. Mary's,65,56
Southern Illinois vs Oklahoma State,77,85
Oklahoma State vs Southeastern Louisiana,63,50
Washington vs Montana,88,77
Washington vs Pacific,97,79
Pacific vs Pittsburgh,79,71
Washington vs Louisville,79,93
Georgia Tech vs George Washington,80,68
Georgia Tech vs Louisville,54,76
Louisville vs Louisiana-Lafayette,68,62
Louisville  vs West Virginia,93,85
Texas Tech vs UCLA,78,66
Texas Tech vs Gonzaga,71,69
Gonzaga vs Winthrop,74,64
Texas Tech vs West Virginia ,60,65
West Virginia vs Creighton,63,61
West Virginia  vs Wake Forest,111,105
Wake Forest vs UT-Chattanooga,70,54
North Carolina vs Oakland,96,68
North Carolina vs Iowa State,92,65
Minnesota vs Iowa State,53,64
North Carolina vs Villanova,67,66
Villanova vs New Mexico,55,47
Villanova vs Florida,76,65
Florida vs Ohio,67,62
North Carolina  vs Wisconsin,88,82
Wisconsin vs Northern Iowa,57,52
Wisconsin vs Bucknell,71,62
Kansas vs Bucknell,63,64
Wisconsin vs North Carolina State ,65,56
63 vs 75,North Carolina State,North Carolina State 
65 vs 62,Connecticut,Connecticut
77 vs 71,Central Florida,Duke
57 vs 46,Delaware State,Duke
63 vs 55,Mississippi State,Stanford
70 vs 93,Mississippi State,Duke
68 vs 78,Michigan State,Michigan State
89 vs 81,Old Dominion,Michigan State
72 vs 61,Vermont,Syracuse
57 vs 60,Vermont,Michigan State
94 vs 88,Kentucky,Utah
60 vs 54,UTEP,Utah
67 vs 58,Oklahoma,Oklahoma
84 vs 67,Niagara,Utah
52 vs 62,Kentucky,Cincinnati
76 vs 64,Iowa,Cincinnati
60 vs 69,Kentucky,Kentucky
72 vs 64,Eastern Kentucky,Illinois
72 vs 57,Louisville,Illinois
70 vs 75,North Carolina,North Carolina
