,0,1
Teams,Left,Right
Arkansas-Pine Bluff vs Winthrop,61,44
Kansas vs Lehigh,90,74
Kansas vs Northern Iowa,67,69
UNLV vs Northern Iowa,66,69
Northern Iowa vs Michigan State,52,59
Michigan State vs New Mexico State,70,67
Michigan State vs Maryland,85,83
Maryland vs Houston,89,77
Michigan State vs Tennessee,70,69
Tennessee vs San Diego State,62,59
Tennessee vs Ohio,83,68
Georgetown vs Ohio,83,97
Tennessee vs Ohio State,76,73
Oklahoma State vs Georgia Tech,59,64
Georgia Tech vs Ohio State,66,75
Ohio State vs UC Santa Barbara,68,51
Syracuse vs Vermont,79,56
Syracuse vs Gonzaga,87,65
Gonzaga vs Florida State,67,60
Syracuse vs Butler,59,63
Butler vs UTEP,77,59
Butler vs Murray State,54,52
Vanderbilt vs Murray State,65,66
Butler vs Kansas State,63,56
Xavier vs Minnesota,65,54
Xavier vs Pittsburgh,71,68
Pittsburgh vs Oakland,89,66
Xavier vs Kansas State,96,101
BYU vs Florida,99,92
BYU vs Kansas State,72,84
Kansas State vs North Texas,82,62
Kentucky vs East Tennessee State,100,71
Kentucky vs Wake Forest,90,60
Texas vs Wake Forest,80,81
Kentucky vs Cornell,62,45
Temple vs Cornell,65,78
Cornell vs Wisconsin,87,69
Wisconsin vs Wofford,53,49
Kentucky vs West Virginia,66,73
Marquette vs Washington,78,80
Washington vs New Mexico,82,64
New Mexico vs Montana,62,57
Washington vs West Virginia,56,69
Clemson vs Missouri,78,86
Missouri vs West Virginia,59,68
West Virginia vs Morgan State,77,50
Duke vs Arkansas-Pine Bluff,73,44
Duke vs California,68,53
California vs Louisville,77,62
Duke vs Purdue,70,57
Texas A&M vs Utah State,69,53
Texas A&M vs Purdue,61,63
Purdue vs Siena,72,64
Duke vs Baylor,78,71
Notre Dame vs Old Dominion,50,51
Old Dominion vs Baylor,68,76
Baylor vs Sam Houston State,68,59
Baylor vs Saint Mary's,72,49
Richmond vs Saint Mary's,71,80
Saint Mary's vs Villanova,75,68
Villanova vs Robert Morris,73,70
Michigan State vs Butler,50,52
Butler vs Duke,59,61
West Virginia vs Duke,57,78
