,0,1
Teams,Left,Right
Middle Tennessee vs Saint Mary's,54,67
Liberty vs North Carolina A&T,72,73
Boise State vs La Salle,71,80
James Madison vs Long Island,68,55
Louisville vs North Carolina A&T,79,48
Louisville vs Colorado State,82,56
Colorado State vs Missouri,84,72
Louisville vs Oregon,77,69
Oklahoma State vs Oregon,55,68
Oregon vs Saint Louis,74,57
Saint Louis vs New Mexico State,64,44
Louisville vs Duke,85,63
Memphis vs Saint Mary's,54,52
Memphis vs Michigan State,48,70
Michigan State vs Valparaiso,65,54
Michigan State vs Duke,61,71
Creighton vs Cincinnati,67,63
Creighton vs Duke,50,66
Duke vs Albany,73,61
Gonzaga vs Southern,64,58
Gonzaga vs Wichita State,70,76
Pittsburgh vs Wichita State,55,73
Wichita State vs La Salle,72,58
Wisconsin vs Mississippi,46,57
Mississippi vs La Salle,74,76
Kansas State vs La Salle,61,63
Wichita State vs Ohio State,70,66
Arizona vs Belmont,81,64
Arizona vs Harvard,74,51
New Mexico vs Harvard,62,68
Arizona vs Ohio State,70,73
Notre Dame vs Iowa State,58,76
Iowa State vs Ohio State,75,78
Ohio State vs Iona,95,70
Kansas vs Western Kentucky,64,57
Kansas vs North Carolina,70,58
North Carolina vs Villanova,78,71
Kansas vs Michigan,85,87
VCU vs Akron,88,42
VCU vs Michigan,53,78
Michigan vs South Dakota State,71,56
Michigan vs Florida,79,59
UCLA vs Minnesota,63,83
Minnesota vs Florida,64,78
Florida vs Northwestern State,79,47
Florida vs Florida Gulf Coast,62,50
San Diego State vs Oklahoma,70,55
San Diego State vs Florida Gulf Coast,71,81
Georgetown vs Florida Gulf Coast,68,78
Indiana vs James Madison,83,62
Indiana vs Temple,58,52
NC State vs Temple,72,76
Indiana vs Syracuse,50,61
UNLV vs California,61,64
California vs Syracuse,60,66
Syracuse vs Montana,81,34
Syracuse vs Marquette,55,39
Butler vs Bucknell,68,56
Butler vs Marquette,72,74
Marquette vs Davidson,59,58
Marquette vs Miami (FL),71,61
Illinois vs Colorado,57,49
Illinois vs Miami (FL),59,63
Miami (FL) vs Pacific,78,49
Louisville vs Wichita State,72,68
Louisville vs Michigan,82,76
Michigan vs Syracuse,61,56
