,0,1
Teams,Left,Right
LIU Brooklyn vs Radford,61,71
St. Bonaventure vs UCLA,65,58
Texas Southern vs North Carolina Central,64,46
Syracuse vs Arizona State,60,56
Virginia vs UMBC,54,74
UMBC vs Kansas State,43,50
Creighton vs Kansas State,59,69
Kansas State vs Kentucky,61,58
Kentucky vs Davidson,78,73
Kentucky vs Buffalo,95,75
Arizona vs Buffalo,68,89
Kansas State vs Loyola Chicago,62,78
Miami (FL) vs Loyola Chicago,62,64
Loyola Chicago vs Tennessee,63,62
Tennessee vs Wright State,73,47
Loyola Chicago vs Nevada,69,68
Nevada vs Texas,87,83
Nevada vs Cincinnati,75,73
Cincinnati vs Georgia State,68,53
Xavier vs Texas Southern,102,83
Xavier vs Florida State,70,75
Missouri vs Florida State,54,67
Florida State vs Gonzaga,75,60
Ohio State vs South Dakota State,81,73
Ohio State vs Gonzaga,84,90
Gonzaga vs UNC Greensboro,68,64
Florida State vs Michigan,54,58
Houston vs San Diego State,67,65
Houston vs Michigan,63,64
Michigan vs Montana,61,47
Michigan vs Texas A&M,99,72
Texas A&M vs Providence,73,69
Texas A&M vs North Carolina,86,65
North Carolina vs Lipscomb,84,66
Villanova vs Radford,87,61
Villanova vs Alabama,81,58
Virginia Tech vs Alabama,83,86
Villanova vs West Virginia,90,78
West Virginia vs Murray State,85,68
West Virginia vs Marshall,94,71
Wichita State vs Marshall,75,81
Villanova vs Texas Tech,71,59
Florida vs St. Bonaventure,77,62
Florida vs Texas Tech,66,69
Texas Tech vs Stephen F. Austin,70,60
Texas Tech vs Purdue,78,65
Arkansas vs Butler,62,79
Butler vs Purdue,73,76
Purdue vs Cal State Fullerton,74,48
Kansas vs Penn,76,60
Kansas vs Seton Hall,83,79
Seton Hall vs NC State,94,83
Kansas vs Clemson,80,76
Clemson vs New Mexico State,79,68
Clemson vs Auburn,84,53
Auburn vs College of Charleston,62,58
Kansas vs Duke,85,81
TCU vs Syracuse,52,57
Syracuse vs Michigan State,55,53
Michigan State vs Bucknell,82,78
Syracuse vs Duke,65,69
Rhode Island vs Oklahoma,83,78
Rhode Island vs Duke,62,87
Duke vs Iona,89,67
Loyola Chicago vs Michigan,57,69
Michigan vs Villanova,62,79
Villanova vs Kansas,95,79
