,0,1
Teams,Left,Right
Mount St. Mary's vs New Orleans,67,66
Kansas State vs Wake Forest,95,88
North Carolina Central vs UC Davis,63,67
Providence vs USC,71,75
Villanova vs Mount St. Mary's,76,56
Villanova vs Wisconsin,62,65
Wisconsin vs Virginia Tech,84,74
Wisconsin vs Florida,83,84
Virginia vs UNC Wilmington,76,71
Virginia vs Florida,39,65
Florida vs East Tennessee State,80,65
Florida vs South Carolina,70,77
SMU vs USC,65,66
USC vs Baylor,78,82
Baylor vs New Mexico State,91,73
Baylor vs South Carolina,50,70
South Carolina vs Marquette,93,73
South Carolina vs Duke,88,81
Duke vs Troy,87,65
Gonzaga vs South Dakota State,66,46
Gonzaga vs Northwestern,79,73
Northwestern vs Vanderbilt,68,66
Gonzaga vs West Virginia,61,58
Notre Dame vs Princeton,60,58
Notre Dame vs West Virginia,71,83
West Virginia vs Bucknell,86,80
Gonzaga vs Xavier,83,59
Maryland vs Xavier,65,76
Xavier vs Florida State,91,66
Florida State vs Florida Gulf Coast,86,80
Xavier vs Arizona,73,71
Saint Mary's vs VCU,85,77
Saint Mary's vs Arizona,60,69
Arizona vs North Dakota,100,82
Kansas vs UC Davis,100,62
Kansas vs Michigan State,90,70
Miami (FL) vs Michigan State,58,78
Kansas vs Purdue,98,66
Iowa State vs Nevada,84,73
Iowa State vs Purdue,76,80
Purdue vs Vermont,80,70
Kansas vs Oregon,60,74
Creighton vs Rhode Island,72,84
Rhode Island vs Oregon,72,75
Oregon vs Iona,93,77
Oregon vs Michigan,69,68
Michigan vs Oklahoma State,92,91
Michigan vs Louisville,73,69
Louisville vs Jacksonville State,78,63
North Carolina vs Texas Southern,103,64
North Carolina vs Arkansas,72,65
Arkansas vs Seton Hall,77,71
North Carolina vs Butler,92,80
Minnesota vs Middle Tennessee,72,81
Middle Tennessee vs Butler,65,74
Butler vs Winthrop,76,64
North Carolina vs Kentucky,75,73
Cincinnati vs Kansas State,75,61
Cincinnati vs UCLA,67,79
UCLA vs Kent State,97,80
UCLA vs Kentucky,75,86
Dayton vs Wichita State,58,64
Wichita State vs Kentucky,62,65
Kentucky vs Northern Kentucky,79,70
South Carolina vs Gonzaga,73,77
Gonzaga vs North Carolina,65,71
Oregon vs North Carolina,76,77
