,0,1
Teams,Left,Right
Monmouth vs Hampton,71,49
Duke vs Southern,70,54
Duke vs George Washington,74,61
George Washington vs UNC-Wilmington,88,85
Duke vs LSU,54,62
Syracuse vs Texas A&M,58,66
Texas A&M vs LSU,57,58
LSU vs Iona,80,64
LSU vs Texas,70,60
West Virginia vs Southern Illinois,64,46
West Virginia vs Northwestern State,67,54
Iowa vs Northwestern State,63,64
West Virginia vs Texas,71,74
California vs North Carolina State,52,58
North Carolina State vs Texas,54,75
Texas vs Pennsylvania,60,52
Memphis vs Oral Roberts,94,78
Memphis vs Bucknell,72,56
Arkansas vs Bucknell,55,59
Memphis vs Bradley,80,64
Pittsburgh vs Kent State,79,64
Pittsburgh vs Bradley,66,72
Kansas vs Bradley,73,77
Memphis vs UCLA,45,50
Indiana vs San Diego State,87,83
Indiana vs Gonzaga,80,90
Gonzaga vs Xavier,79,75
Gonzaga vs UCLA,71,73
Marquette vs Alabama,85,90
Alabama vs UCLA,59,62
UCLA vs Belmont,78,44
Villanova vs Monmouth,58,45
Villanova vs Arizona,82,78
Arizona vs Wisconsin,94,75
Villanova vs Boston College,60,59
Nevada vs Montana,79,87
Montana vs Boston College,56,69
Boston College vs Pacific,88,76
Villanova vs Florida,62,75
Oklahoma vs UW–Milwaukee,74,82
UW–Milwaukee vs Florida,60,82
Florida vs South Alabama,76,50
Florida vs Georgetown,57,53
Georgetown vs Northern Iowa,54,49
Georgetown vs Ohio State,70,52
Ohio State vs Davidson,70,62
Connecticut vs Albany,72,59
Connecticut vs Kentucky,87,83
Kentucky vs UAB,69,64
Connecticut vs Washington,98,92
Washington vs Utah State,75,61
Washington vs Illinois,67,64
Illinois vs Air Force,78,69
Connecticut vs George Mason,84,86
Michigan State vs George Mason,65,75
George Mason vs North Carolina,65,60
North Carolina vs Murray State,69,65
George Mason vs Wichita State,63,55
Wichita State vs Seton Hall,86,66
Wichita State vs Tennessee,80,73
Tennessee vs Winthrop,63,61
LSU vs UCLA,45,59
UCLA vs Florida,57,73
Florida vs George Mason,73,58
