,0,1
Teams,Left,Right
NC State vs Xavier,74,59
Albany vs Mount St. Mary's,71,64
Iowa vs Tennessee,65,78
Cal Poly vs Texas Southern,81,69
Florida vs Albany,67,55
Florida vs Pittsburgh,61,45
Colorado vs Pittsburgh,48,77
Florida vs UCLA,79,68
VCU vs Stephen F. Austin,75,77
Stephen F. Austin vs UCLA,60,77
UCLA vs Tulsa,76,59
Florida vs Dayton,62,52
Ohio State vs Dayton,59,60
Dayton vs Syracuse,55,53
Syracuse vs Western Michigan,77,53
Dayton vs Stanford,82,72
New Mexico vs Stanford,53,58
Stanford vs Kansas,60,57
Kansas vs Eastern Kentucky,80,69
Virginia vs Coastal Carolina,70,59
Virginia vs Memphis,78,60
Memphis vs George Washington,71,66
Virginia vs Michigan State,59,61
Cincinnati vs Harvard,57,61
Harvard vs Michigan State,73,80
Michigan State vs Delaware,93,78
Michigan State vs UConn,54,60
North Carolina vs Providence,79,77
North Carolina vs Iowa State,83,85
Iowa State vs NC Central,93,75
Iowa State vs UConn,76,81
UConn vs St. Joseph's,89,81
UConn vs Villanova,77,65
Villanova vs Milwaukee,73,53
Arizona vs Weber State,68,59
Arizona vs Gonzaga,84,61
Gonzaga vs Oklahoma State,85,77
Arizona vs San Diego State,70,64
Oklahoma vs North Dakota State,75,80
North Dakota State vs San Diego State,44,63
San Diego State vs New Mexico State,73,69
Arizona vs Wisconsin,63,64
Baylor vs Nebraska,74,60
Baylor vs Creighton,85,55
Creighton vs Louisiana–Lafayette,76,66
Baylor vs Wisconsin,52,69
Oregon vs BYU,87,68
Oregon vs Wisconsin,77,85
Wisconsin vs American,75,35
Wichita State vs Cal Poly,64,37
Wichita State vs Kentucky,76,78
Kentucky vs Kansas State,56,49
Kentucky vs Louisville,74,69
Saint Louis vs NC State,83,80
Saint Louis vs Louisville,51,66
Louisville vs Manhattan,71,64
Kentucky vs Michigan,75,72
Massachusetts vs Tennessee,67,86
Tennessee vs Mercer,83,63
Duke vs Mercer,71,78
Tennessee vs Michigan,71,73
Texas vs Arizona State,87,85
Texas vs Michigan,65,79
Michigan vs Wofford,57,40
Kentucky vs Wisconsin,74,73
Kentucky vs UConn,54,60
UConn vs Florida,63,53
